Name_A,Firms_A,Name_B,Firms_B,Reason
R. Laurence Macon,AKIN GUMP STRAUSS HAUER & FELD LLP,Rhett A. McSweeney,McSweeney/Langevin,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
R. Laurence Macon,AKIN GUMP STRAUSS HAUER & FELD LLP,Richard McCune,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
A. James Andrews,,Anne Andrews,Andrews & Thornton,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf medium)
William H. Anderson,"Cuneo Gilbert & LaDuca, LLP",William Andrichik,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Russel H. Beatie,BEATIE AND OSBORN LLP; Beatie & Osborn LLP,Russell Budd,"Baron & Budd, P.C.",fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
Steven F. Cherry,Wilmer Cutler Pickering Hale and Dorr LLP,Stephen A.Cor,"MELLON, WEBSTER & SHELLY",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Steven F. Cherry,Wilmer Cutler Pickering Hale and Dorr LLP,Stephen A. Corr,"Stark & Stark, P.C.",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Jeffrey C. Rickard,"Marsh, Rickard & Bryan, PC",J. Douglas Richards,"Cohen Milstein Sellers & Toll PLLC; Cohen Milstein Sellers & Toll, PLLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Douglas Richards,"Cohen Milstein Sellers & Toll PLLC; Cohen Milstein Sellers & Toll, PLLC",Jason Richards,"Aylstock Witkin Kreis & Overholtz, PLLC",exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Douglas Richards,"Cohen Milstein Sellers & Toll PLLC; Cohen Milstein Sellers & Toll, PLLC",Joyce Chambers Reichard,"Kelley & Ferraro, LLP; Kelley Ferraro LLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Robert E. DeRose,"Barkan Neff Handelman Meizlish, LLP; Barakan Neff Handelman Meizlish LLP",R. Jackson Drake,Whatley Drake & Kallas; Whatley Drake & Kallas LLC,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Michele Dirke,,Michelle Drake,,fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf low)
Adam Pulaski,"PULASKI KHERKHER, PLLC",Adam Polk,Girard Sharp; Girard Sharp LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Peter A. Muhic,Barroway Topaz Kessler Meltzer & Check LLP,Peter J. Mougey,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Steven Block,"Lane, Powell, P.C.",Steven Bloch,Silver Golub & Teitell LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
Steven Block,"Lane, Powell, P.C.",Steve Bloch,Silver Golub & Teitell LLP,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Christopher G. Hayes,,C. Erik Hawes,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
C. Erik Hawes,,Connor Hayes,Lynch Carpenter LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Joseph B. Kenney,Chimicles & Tikellis LLP,Joseph H. Kanee,MARCUS & ZELMAN LLC,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Jeffrey Cereghino,"Merrill Nomura & Molineux, LLP; Merrill Namora & Molineaux LLP",Jeffrey J. Corrigan,"Spector Roseman Kodroff & Willis, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
David R. Dugas,McGlinchey Stafford PLLC,David Eidson Dukes,Nelson Mullins Riley & Scarborough,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
David C. O’Mara,"The O’Mara Law Firm, P.C.",David G. Omer,"OMER LAW FIRM, PLLC",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
David Steelman,"Steelman, Gaunt & Horsefield",David S. Stellings,"Lieff Cabraser Heimann & Bernstein LLP; Lieff Cabraser Heimann & Bernstein, LLP",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Jon Conlin,"Cory Watson, P.C.",Jan Conlin,Ciresi Conlin LLP,exact surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
Patrick F. Madden,Berger Montague PC,P. Graham Maiden,Motley Rice LLC,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
