Firm_ID,Canonical_Firm,AKA_1,AKA_2,AKA_3,Variants_Merged,N_MDLs,N_Mentions,MDLs
F0037,"Zelle Hofmann Voelbel Mason & Gette, LLP",Zelle Hofmann Voelbel Mason & Gette LLP,"Zelle, Hoffman, Voelbel, Mason & Gette-MN","Zelle, Hofmann, Voelbel, Mason & Gette LLP",3,6,9,"1566, 1775, 1819, 1826, 1827, 1957"
F0038,Troutman Pepper Hamilton Sanders LLP,Pepper Hamilton LLP,Pepper Hamilton,Pepper Hamilton LLO,3,5,27,"1871, 2002, 2724, 2886, 2972"
F0039,Arnold & Porter Kaye Scholler LLP,ARNOLD & PORTER KAYE SCHOLER LLP,Arnold & Porter Kaye Scholer LLP,Arnold & Porter LLP,3,8,21,"1953, 2068, 2418, 2724, 2740, 2792, 2804, 2924"
F0040,"Morgan, Lewis & Bockius, LLP",Morgan Lewis and Bockius LLP,"Morgan, Lewis & Bockius LLP",Morgan Lewis & Bockius LLP,3,6,16,"2545, 2587, 2724, 2804, 2836, 3014"
F0041,DiCello Levitt Gutzler LLC,DiCello Levitt Gutzler,DiCello Levitt,DiCello Levitt LLP,3,19,37,"2314, 2580, 2724, 2879, 2904, 2905, 2909, 2972, 3004, 3019, 3026, 3060, 3079, 3087, 3089, 3094, 3107, 3115, 3148"
F0042,COHEN PLACITELLA & ROTH,"Cohn Placitella & Roth, P.C.","COHEN, PLACITELLA & ROTH","Cohen, Placitella & Roth",3,8,12,"1657, 1763, 1817, 1916, 2187, 2197, 2326, 2738"
F0043,FIBICH HAMPTON LEEBRON BRIGGS & JOSEPHSON,"FIBICH, LEEBRON, COPELAND & BRIGGS","Fibich, Leebron, Copeland & Briggs",FIB!CH HAMPTON LEEBRON BRIGGS & JOSEPHSON,3,4,7,"2187, 2326, 2809, 3092"
F0044,"Greene, Ketchum, Bailey, Walker, Farrell & Tweel",GREENE KETCHUM BAILEY WALKER FARRELL & TWEEL,"Greene, Ketchum, Bailey, Walker, Farrell, & Tweel","Greene, Ketchum, Bailey, Walker, Farrell & Twee!",3,5,10,"2187, 2325, 2326, 2327, 2804"
F0045,"Barrios, Kingsdorf & Casteix, LLP","BARRIOS, KINGSDORF & CASTIEX, LLP",Barrios Kingsdorf & Casteix,"Barrios, Kindsdorf, Casteix, LLP",3,6,15,"1657, 2047, 2299, 2543, 2545, 2740"
F0046,"Cory Watson, P.C.","CORY WATSON, P.C.","Cory, Watson, Crowder & DeGaris",Cory Watson Attorneys,3,22,42,"1785, 1789, 1842, 1905, 1928, 2087, 2197, 2428, 2433, 2441, 2502, 2657, 2691, 2734, 2767, 2782, 2885, 2903, 2924, 2973, 3081, 3125"
F0047,Bartlit Beck Herman Palenchar & Scott LLP,BARLET BECK HERMAN PALENCHAR & SCOTT,"Bartlit Beck Herman Palenchar & Scott, LLP",Bartlit Beck,3,6,11,"1431, 1733, 1909, 1928, 2023, 2284"
F0048,Sidley Austin LLP,SIDLEY AUSTIN BROWN & WOOD,Sidley Austin (Chicago),,3,4,4,"1431, 1928, 2299, 2591"
F0049,"Critchley, Kinum & DeNoia, LLC","Critchley, Kinum & DeNoia LLC",Critchley & Kinum,"CRITCHLEY, KINUM & LURIA, LLC",3,3,4,"2687, 2779, 3113"
F0050,Gomez Trial Attorneys,GOMEZ TRIAL LAWYERS,Bonsignore Trial Lawyers PLLC,,3,4,6,"2391, 2642, 2753, 2775"
F0051,Cafferty Clobes Meriwether & Sprengel LLP,Cafferty Clobes Meriweather & Sprengel LLP,Cafferty Clobes Meriwether & Sprengel LLP-IL,,3,6,11,"2819, 2827, 2968, 3031, 3071, 3115"
F0052,"Kantrowitz, Goldhamer & Graifman, P.C.","Kantrowitz, Goldhammer & Graifman, PC","Kantrowitz Goldhamer & Graifman, P.C.","KANTROWITZ, GOLDHAMER & GRAIFMAN, P.C.",3,7,8,"1725, 2583, 2827, 2903, 2972, 3078, 3115"
F0053,Tennessee Attorney General,Tennessee Attorney General's Office,Colorado Attorney General's Office,California Attorney General's Office,3,3,4,"2446, 2804, 3047"
F0054,"McGowan, Hood, Felder & Johnson","McGowan, Hood & Felder, LLC","McGowan, Hood, Felder & Phillips, LLC",,3,3,5,"1785, 2816, 3107"
F0055,"James, Hoyer, Newcomer & Smiljanich","James Hoyer Newcomer & Smiljanich, P.A.","James, Hoyer, Newcomber & Smiljanich, P.A.","James, Hoyer, Newcomer, Smiljanich & Yanchunis, P.A.",3,3,4,"1715, 1825, 2173"
F0056,"Williams, Kherkher, Hart & Boundas LLP","Williams Kherkher Hart Boundas, LLP","Williams Kherkher Hart Boundas, LLC","Williams, Kherker, Hart, Boundas, LLP",3,5,6,"1842, 1905, 1928, 2068, 3084"
F0057,"Lite DePalma Greenberg, LLC",Lite DePalma Greenberg LLC,"Lite DePalma Greenberg & Rivas, LLC","Lite DePalma and Greenberg, LLC",2,13,23,"1658, 1663, 1763, 2025, 2262, 2290, 2564, 2595, 2602, 2669, 2687, 2724, 2904"
F0058,"Bonnett, Fairbourn, Friedman & Balint, P.C.","BONNETT, FAIRBOURN, FRIEDMAN & BALINT, P.C.","Bonnett, Fairbourn, Friedman, & Balint, P.C.","Bonnett, Fairbourn, Friedman & Balint, PC",2,10,25,"1663, 1825, 1974, 2020, 2036, 2074, 2087, 2238, 2324, 2994"
F0059,Milberg Weiss Bershad & Schulman LLP,Milberg Weiss & Bershad LLP,"Milberg Weiss Bershad & Schulman, LLP",,2,4,10,"1656, 1658, 1663, 1671"
F0060,"Saveri & Saveri, Inc.","Joseph Saveri Law Firm, Inc.",Saveri & Saveri Inc.,"Saveri & Saveri, Inc",2,9,26,"1717, 1738, 2143, 2420, 2521, 2724, 2819, 2827, 2966"
F0061,"Halleland, Lewis, Nilan, & Johnson",Halleland Lewis Nilan & Johnson,"HALLELAND LEWIS NILAN SIPKINS & JOHNSON, P.A.",,2,3,6,"1431, 1836, 1943"
F0062,Kaplan Fox & Kilsheimer LLP,"Kaplan, Fox & Kilsheimer, LLP","Kaplan Fox & Kilsheimer, LLP",Kaplan Fox and Kilsheimer LLP,2,29,93,"1431, 1682, 1684, 1775, 1869, 1895, 1912, 1933, 1940, 1972, 1997, 2058, 2086, 2143, 2262, 2275, 2314, 2328, 2358, 2471, 2508, 2542, 2583, 2656, 2724, 2819, 2827, 2931, 3097"
F0063,Cafferty Faucher LLP,CAFFERTY FAUCHER LLP,"Cafferty Faucher, LLP",Miller Faucher & Cafferty LLP,2,7,8,"1657, 1663, 1715, 1997, 2185, 2334, 2373"
F0064,"Pope, McGlamry, Kilpatrick, Morrison & Norwood","Pope, McGlamry, Kilpatrick, Morrison & Norwood, P.C.","McGlamry, Kilpatrick, Morrison & Norwood","McGlamry, Kilpatrick, Morrison & Norwood, P.C.",2,3,7,"2329, 2391, 2768"
F0065,Kiesel Boucher Larson LLP,"Kiesel Boucher Larson, LLP","Kiesel, Boucher & Larson, LLP",Kiesel Boucher law firm,2,5,7,"1871, 2074, 2314, 2329, 2330"
F0066,Bernstein Litowitz Berger & Grossmann LLP,Bernstein Litowitz Berger & Grossman LLP,"Bernstein, Litowitz, Berger & Grossmann, LLP","Bernstein, Litowitz, Berger & Grossmann LLP",2,16,30,"1658, 1725, 1741, 1777, 1898, 1919, 1933, 2011, 2017, 2027, 2058, 2185, 2335, 2389, 2672, 2742"
F0067,SCHNEIDER WALLACE COTTRELL KONECKY LLP,Schneider Wallace Cottrell Konecky LLP,Schneider Wallace Cottrell Konecky Wotkyns LLP,"Schneider Wallace Cottrell & Konecky, LLP",2,4,10,"2048, 2672, 3004, 3113"
F0068,"Kemp, Jones and Coulthard, LLP","HARRISON, KEMP & JONES",,,2,2,2,"1431, 2566"
F0069,"Hanly, Conroy, Bierstein, Sheridan, Fisher & Hayes LLP",Hanly Conroy Bierstein & Sheridan LLP,HANLY CONROY BIERSTEIN SHERIDAN FISHER & HAYES,Hanly Conroy Bierstein Sheridan Fisher & Hayes LLP,2,8,19,"1570, 1909, 2187, 2244, 2326, 2331, 2342, 2502"
F0070,"Wiggins, Childs, Quinn & Pantazis, LLC","Wiggins, Childs, Quinn & Pantazis LLC","Wiggins, Childs, Quinn and Pantazis","Wiggins, Childs, Pantazis, Fisher & Goldfarb, LLC",2,5,6,"1570, 1854, 1871, 2034, 2875"
F0071,Motley Rice LLC,"Motley Rice, LLC",Motley Rice,MOTLEY RICE LLC,2,54,119,"1570, 1763, 1791, 1842, 1871, 1905, 1928, 1968, 2083, 2087, 2187, 2197, 2243, 2244, 2325, 2326, 2327, 2342, 2387, 2440, 2445, 2460, 2472, 2502, 2516, 2521, 2543, 2641, 2657, 2672, 2691, 2709, 2724, 2738, 2753, 2777, 2782, 2804, 2836, 2842, 2873, 2885, 2921, 2924, 2966, 2972, 2973, 2996, 3014, 3051, 3094, 3115, 3140, 3148"
F0072,"Mellon, Webster & Shelly","MELLON, WEBSTER & SHELLY","Mellon, Webster & Shelley",,2,4,8,"1570, 1871, 1995, 2034"
F0073,Finkelstein Thompson LLP,Finkelstein Thompson,"FINKELSTEIN THOMPSON, LLP","Finkelstein Thompson, LLP",2,18,30,"1671, 1733, 1780, 1871, 1940, 1998, 2036, 2046, 2226, 2274, 2330, 2331, 2389, 2437, 2481, 2672, 2827, 2875"
F0074,Berman Fink Van Horn P.C.,"Berman Fink Van Horn, P.C.",Berman Fink Van Hom P.C.,,2,3,3,"2800, 2807, 2879"
F0075,Lockridge Grindal Nauen PLLP,Lockridge Grindal Nauen P.L.L.P.,Lockridge Grindal Nauen,LOCKRIDGE GRINDAL NAUEN P.L.L.P.,2,60,116,"1431, 1658, 1700, 1708, 1775, 1817, 1905, 1942, 1943, 1958, 1990, 1996, 2000, 2090, 2098, 2187, 2223, 2247, 2264, 2274, 2290, 2326, 2327, 2359, 2387, 2434, 2440, 2441, 2522, 2545, 2551, 2583, 2586, 2591, 2595, 2642, 2691, 2724, 2741, 2744, 2752, 2796, 2800, 2809, 2833, 2903, 2915, 2948, 2993, 2998, 3031, 3074, 3079, 3083, 3097, 3107, 3108, 3110, 3113, 3148"
F0076,"Kessler Topaz Meltzer & Check, LLP",Kessler Topaz Meltzer & Check LLP,KESSLER TOPAZ MELTZER & CHECK LLP,Kessler Topaz Meltzer and Check LLP,2,23,46,"1963, 2004, 2013, 2017, 2056, 2058, 2335, 2472, 2481, 2508, 2522, 2744, 2796, 2827, 2828, 2842, 2867, 2905, 2948, 3080, 3089, 3107, 3149"
F0077,"Weitz & Luxenberg, P.C.",Weitz & Luxenberg,"Weitz & Luxenberg, PC",Weitz and Luxenberg,2,26,43,"1657, 1708, 1742, 2087, 2197, 2243, 2272, 2299, 2391, 2543, 2570, 2672, 2741, 2750, 2768, 2782, 2789, 2797, 2804, 2820, 2873, 2885, 2973, 3014, 3080, 3140"
F0078,"Geragos & Geragos, APC",Geragos & Geragos APC,Geragos & Geragos,Geragos and Geragos,2,6,11,"2153, 2199, 2220, 2434, 2438, 2795"
F0079,Henninger Garrison Davis LLC,"Heninger Garrison Davis, LLC","Heninger, Garrison & Davis","Heninger Garrison Davis, LLC,",2,8,23,"1842, 1943, 2023, 2502, 2669, 2795, 2885, 3004"
F0080,Hellmuth & Johnson PLLC,Hellmuth & Johnson PLL C,,,2,3,8,"2795, 2828, 2993"
F0081,"Bragar Eagel & Squire, P.C.","Brager Eagel & Squire, P.C.",,,2,2,3,"2795, 2827"
F0082,Glancy Binkow & Goldberg LLP,Glancy Binkow and Goldberg LLP,"Glancy, Binkow & Goldberg LLP","Glancy Binkow & Goldberg, LLP",2,9,14,"1566, 1739, 1891, 2173, 2186, 2269, 2357, 2420, 2615"
F0083,"Milstein Adelman Jackson Fairchild
& Wade LLP","MILSTEIN ADELMAN, LLP",Milstein Adelman L.L.P.,Milstein Adelman LLP,2,4,4,"2107, 2199, 2452, 2709"
F0084,"Wilentz, Goldman & Spitzer","Wilentz, Goldman & Spitzer P.A.","Wilentz, Goldman & Spitzer, P.A.","WILENTZ, GOLDMAN & SPITZER, P.A.",2,5,7,"1953, 2020, 2445, 2738, 2789"
F0085,CHITWOOD HARLEY HARNES LLP,Chitwood Harley Harnes,Chitwood Harley Hanrnes LLP,Chitwood Harley Harnes LLP,2,2,14,"1677, 2036"
F0086,"Kahn Swick & Foti, LLC","Kahn, Gauthier, Swick, LLC",,,2,3,6,"1931, 2058, 2185"
F0087,"Barrack, Rodos & Bacine",Barrack Rodos & Bacine,Barack Rodos & Bacine,"BARRACK, RODOS & BACINE",2,10,20,"1825, 1912, 1933, 2185, 2420, 2936, 2938, 2948, 3040, 3078"
F0088,Akin Gump Strauss,Akin Gump Strauss Hauer & Feld LLP,Akin Gump Strauss Hauer and Feld LLP,AKIN GUMP STRAUSS HAUER & FELD LLP,2,5,8,"1730, 1894, 1899, 2296, 2693"
F0089,"Paul, Weiss, Rifkind, Wharton & Garrison LLP","Paul, Weiss, Rifkind, Wharton &
Garrison LLP","Paul, Weiss, Rifkind &
Garrison, LLP",,2,5,5,"2296, 2669, 2673, 2941, 3110"
F0090,"Gibson, Dunn & Crutcher LLP","Gibson, Dunn, and Crutcher LLP","Gibson, Dunn & Curtcher LLP",Gibson Dunn & Crutcher LLP,2,6,16,"1972, 2296, 2836, 2879, 3032, 3071"
F0091,"Silverman Thompson Slutkin & White, LLC",Silverman Thompson,"Silverman, Thompson, Slutkin & White LLC",SILVERMAN THOMPSON SLUTKIN WHITE,2,4,6,"2314, 2358, 2551, 2879"
F0092,Zelle Hofmann Voelbel & Mason LLP,ZELLE HOFMANN VOELBEL & MASON LLP,Zelle Hoffman Voelbel & Mason LLP,,2,5,6,"1819, 1827, 2029, 2420, 2551"
F0093,"Finkelstein, Blankinship, Frei-Pearson & Garber LLP","Finkelstein, Blankinship, Frei-Pearson & Garber, LLP",Finkelstein Blankinship Freipearson & Garber LLP,,2,4,7,"2357, 2645, 2705, 2827"
F0094,"Carey, Danis & Lowe",Carey Danis & Lowe,"Carey & Danis, L.L.C.",CAREY DANIS & LOWE,2,8,16,"1928, 1943, 2001, 2269, 2290, 2613, 3004, 3078"
F0095,Kirby McInerney LLP,Kirby McInerney & Squire LLP,Kirby McInerney,KIRBY McINERNEY LLP,2,10,21,"1671, 1741, 1935, 1946, 1957, 2262, 2475, 2968, 3031, 3119"
