Firm_ID,Canonical_Firm,AKA_1,AKA_2,AKA_3,Variants_Merged,N_MDLs,N_Mentions,MDLs
F0011,Labaton Sucharow LLP,LABATON SUCHAROW LLP,Labaton Sucharow,"Labaton Sucharow, LLP",2,24,84,"1657, 1745, 1749, 1775, 1888, 1935, 1942, 1957, 1963, 2007, 2027, 2186, 2196, 2213, 2284, 2311, 2328, 2389, 2580, 2673, 2724, 2879, 2966, 2993"
F0012,"Cotchett, Pitre & McCarthy, LLP","Cotchett, Pitre & McCarthy","Cotchett, Pitre & McCarthy LLP",Cotchett Pitre & McCarthy LLP,3,40,81,"1775, 1780, 1793, 1807, 1819, 1913, 1968, 1972, 1987, 2017, 2109, 2143, 2145, 2185, 2233, 2311, 2335, 2420, 2451, 2471, 2624, 2627, 2656, 2672, 2693, 2724, 2743, 2773, 2801, 2827, 2992, 2993, 3031, 3040, 3051, 3089, 3107, 3114, 3115, 3119"
F0013,Robbins Geller Rudman & Dowd LLP,Coughlin Stoia Geller Rudman & Robbins LLP,Lerach Coughlin Stoia Geller Rudman & Robbins LLP,"Robbins Geller Rudman & Dowd, LLP",5,48,80,"1658, 1675, 1704, 1706, 1720, 1780, 1791, 1820, 1825, 1850, 1895, 1897, 1916, 1940, 2007, 2052, 2075, 2082, 2186, 2188, 2199, 2238, 2254, 2258, 2420, 2481, 2516, 2521, 2551, 2672, 2673, 2687, 2752, 2777, 2779, 2817, 2827, 2828, 2879, 2905, 2921, 2924, 2972, 2996, 3080, 3089, 3096, 3115"
F0014,"Carella, Byrne, Cecchi, Olstein, Brody, & Agnello, PC","Carella, Byrne, Cecchi, Olstein, Brody & Agnello, P.C.","Carella Byrne Cecchi Olstein Brody & Agnello, P.C.","CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & AGNELLO, PC",4,34,75,"1869, 1914, 1931, 1938, 1956, 2020, 2228, 2243, 2332, 2353, 2361, 2415, 2471, 2506, 2514, 2540, 2577, 2599, 2672, 2687, 2750, 2779, 2904, 2948, 2973, 3051, 3073, 3080, 3089, 3090, 3108, 3113, 3114, 3149"
F0015,"Pearson, Simon & Warshaw, LLP","Pearson, Simon, Warshaw & Penny, LLP","Pearson, Simon, Soter, Warshaw & Penny, LLP","Pearson Warshaw, LLP",5,23,74,"1822, 1827, 1972, 1996, 2143, 2186, 2196, 2330, 2420, 2476, 2541, 2542, 2645, 2719, 2796, 2909, 2972, 2985, 2998, 3001, 3031, 3107, 3108"
F0016,Zimmerman Reed LLP,Zimmerman Reed,Zimmerman Reed PLLP,"Zimmerman Reed, PLLP",2,41,73,"1431, 1700, 1708, 1905, 1943, 1958, 1968, 1990, 2000, 2197, 2247, 2272, 2391, 2441, 2445, 2474, 2492, 2522, 2551, 2564, 2583, 2639, 2691, 2693, 2734, 2768, 2779, 2795, 2800, 2807, 2820, 2827, 2879, 2968, 2993, 2998, 3009, 3019, 3107, 3108, 3110"
F0017,"Baron & Budd, P.C.",Baron & Budd,BARON & BUDD,"Baron Budd, P.C.",1,24,70,"2036, 2187, 2197, 2262, 2415, 2428, 2440, 2570, 2599, 2641, 2642, 2657, 2672, 2738, 2777, 2789, 2797, 2873, 2885, 2905, 2948, 3051, 3052, 3080"
F0018,"Aylstock, Witkin, Kreis & Overholtz, PLLC","Aylstock, Witkin, Kreis & Overholtz","Aylstock Witkin Kreis & Overholtz, PLLC",Aylstock Witkin Kreis & Overholtz,6,34,69,"1657, 1708, 1871, 1905, 1928, 1998, 2004, 2187, 2244, 2272, 2299, 2325, 2326, 2327, 2342, 2387, 2391, 2440, 2441, 2452, 2458, 2642, 2734, 2782, 2789, 2885, 2973, 3015, 3025, 3079, 3080, 3089, 3094, 3140"
F0019,Robins Kaplan LLP,"Robins, Kaplan, Miller & Ciresi L.L.P.","Robins Kaplan, LLP","Robins, Kaplan, Miller & Ceresi",4,28,69,"1720, 1775, 1836, 1935, 2196, 2197, 2213, 2244, 2471, 2606, 2626, 2657, 2668, 2691, 2734, 2750, 2776, 2777, 2797, 2800, 2867, 2905, 2918, 3031, 3071, 3107, 3110, 3140"
F0020,Milberg LLP,"Milberg Coleman Bryson Phillips Grossman, PLLC",Milberg Weiss Bershad & Schulman LLP,Milberg Weiss & Bershad LLP,8,39,67,"1656, 1658, 1663, 1671, 1842, 1871, 1891, 1956, 2002, 2063, 2145, 2186, 2199, 2264, 2274, 2308, 2413, 2445, 2522, 2619, 2687, 2752, 2800, 2817, 2827, 2879, 2938, 2988, 3009, 3025, 3032, 3035, 3056, 3059, 3078, 3096, 3108, 3127, 3149"
F0021,Morgan & Morgan,Morgan & Morgan Complex Litigation Group,"Morgan & Morgan, P.A.","Morgan and Morgan, P.A.",3,47,66,"1854, 1953, 1968, 1985, 2023, 2047, 2051, 2187, 2440, 2441, 2452, 2475, 2481, 2502, 2514, 2522, 2545, 2577, 2583, 2606, 2664, 2688, 2695, 2750, 2752, 2775, 2800, 2809, 2820, 2841, 2873, 2875, 2915, 2973, 2994, 3014, 3019, 3036, 3079, 3080, 3087, 3090, 3094, 3096, 3108, 3114, 3115"
F0022,Girard Gibbs LLP,Gibbs Law Group LLP,Girard Gibbs,"Girard Gibbs, LLP",3,38,64,"1786, 1827, 1914, 1982, 1998, 2014, 2017, 2030, 2063, 2086, 2121, 2145, 2187, 2299, 2409, 2440, 2450, 2460, 2481, 2516, 2521, 2522, 2583, 2617, 2619, 2624, 2661, 2664, 2693, 2724, 2740, 2797, 2800, 2819, 2885, 2905, 3031, 3108"
F0023,"Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.",Beasley Allen Law Firm,"BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.",Beasley Allen,5,34,61,"1431, 1657, 1789, 2187, 2197, 2223, 2243, 2244, 2299, 2342, 2391, 2428, 2434, 2502, 2522, 2545, 2583, 2592, 2595, 2672, 2738, 2750, 2777, 2789, 2827, 2903, 2905, 2924, 3004, 3015, 3051, 3094, 3114, 3140"
F0024,"Lynch Carpenter, LLP","Carlson Lynch Sweet Kilpela & Carpenter, LLP","Carlson Lynch, LLP",Lynch Carpenter LLP,4,24,60,"1674, 2522, 2583, 2586, 2595, 2669, 2693, 2800, 2850, 2879, 2948, 2968, 2969, 2972, 2984, 3014, 3032, 3056, 3074, 3083, 3096, 3108, 3115, 3149"
F0025,Scott+Scott Attorneys at Law LLP,Scott + Scott Attorneys at Law LLP,"Scott+Scott Attorneys at Law, LLP",Scott+Scott LLP,1,31,55,"1658, 1992, 2020, 2074, 2086, 2208, 2332, 2361, 2409, 2415, 2420, 2445, 2522, 2583, 2619, 2626, 2800, 2948, 2968, 3031, 3050, 3056, 3071, 3074, 3080, 3081, 3108, 3114, 3115, 3119, 3140"
F0026,"Cuneo Gilbert & LaDuca, LLP","Cuneo, Gilbert & LaDuca, LLP","Cuneo Gilbert & Laduca, LLP",Cuneo Gilbert & LaDuca LLP,1,30,54,"1763, 1817, 1958, 2000, 2098, 2238, 2247, 2254, 2274, 2290, 2311, 2359, 2420, 2451, 2471, 2481, 2551, 2588, 2670, 2724, 2843, 2903, 2918, 2998, 3031, 3032, 3097, 3107, 3108, 3110"
F0027,"Wagstaff & Cartmell, LLP",Wagstaff & Cartmell,Wagstaff & Cartmell LLP,WAGSTAFF & CARTMELL LLP,1,25,52,"1657, 1871, 2187, 2244, 2325, 2326, 2327, 2342, 2387, 2440, 2452, 2458, 2570, 2591, 2641, 2657, 2885, 2936, 3026, 3073, 3080, 3081, 3089, 3094, 3140"
F0028,Simmons Hanly Conroy,"Hanly, Conroy, Bierstein, Sheridan, Fisher & Hayes LLP",Simmons Hanly Conroy LLC,"Simmons Hanly Conroy, LLC",4,21,52,"1570, 1909, 2187, 2244, 2299, 2314, 2331, 2342, 2502, 2545, 2591, 2672, 2709, 2740, 2782, 2886, 2996, 3047, 3079, 3080, 3084"
F0029,Napoli Shkolnik PLLC,Napoli Shkolnik,"Napoli Bern Ripka Shkolnik, LLP","Napoli Shkolnik, PLLC",5,23,51,"1928, 1964, 2187, 2244, 2272, 2385, 2418, 2440, 2452, 2691, 2734, 2738, 2740, 2750, 2754, 2775, 2789, 2846, 2859, 2873, 2885, 2973, 3121"
F0030,The Lanier Law Firm,Lanier Law Firm,THE LANIER LAW FIRM,THE LANIER LAW FIRM PC,2,20,50,"1657, 1871, 1953, 2187, 2197, 2244, 2272, 2299, 2331, 2391, 2434, 2502, 2545, 2738, 2885, 2973, 3036, 3080, 3081, 3114"
F0031,"Quinn Emanuel Urquhart & Sullivan, LLP",Quinn Emanuel Urquhart & Sullivan LLP,Quinn Emanuel,"Quinn, Emanuel, Urquhart & Sullivan, LLP",3,20,46,"1869, 1938, 2187, 2196, 2342, 2476, 2502, 2548, 2577, 2670, 2673, 2687, 2704, 2740, 2842, 2885, 2925, 2931, 3062, 3103"
F0032,Stueve Siegel Hanson LLP,Stueve Siegel Hanson Woody LLP,Stueve Siegel Hanson LLP - KCMO,STUEVE SIEGEL HANSON LLP,4,23,45,"1786, 2086, 2138, 2361, 2522, 2567, 2583, 2591, 2670, 2740, 2789, 2800, 2879, 2885, 2887, 2915, 2955, 2975, 3019, 3073, 3098, 3108, 3115"
F0033,Susman Godfrey LLP,Susman Godfrey L.L.P.,Susman Godfrey,SUSMAN GODFREY LLP,1,21,45,"1738, 1891, 1950, 1957, 2002, 2058, 2262, 2311, 2338, 2420, 2471, 2543, 2567, 2668, 2773, 2948, 2972, 3113, 3121, 3143, 3148"
F0034,"Douglas & London, P.C.",Douglas & London,Douglas and London,"DOUGLAS & LONDON, P.C.",1,23,44,"1742, 1842, 1953, 2023, 2051, 2068, 2100, 2197, 2272, 2299, 2342, 2433, 2545, 2750, 2754, 2789, 2846, 2873, 2885, 2973, 3080, 3089, 3140"
F0035,"Kessler Topaz Meltzer & Check, LLP",Kessler Topaz Meltzer & Check LLP,KESSLER TOPAZ MELTZER & CHECK LLP,Kessler Topaz Meltzer and Check LLP,4,24,44,"1963, 2004, 2013, 2017, 2027, 2056, 2058, 2335, 2472, 2481, 2508, 2522, 2744, 2796, 2827, 2828, 2842, 2867, 2905, 2948, 3080, 3089, 3107, 3149"
F0036,Keller Rohrback L.L.P.,Keller Rohrback LLP,"Keller Rohrback, L.L.P.","Keller Rohrback, LLP",2,27,43,"623, 1658, 1725, 1735, 1919, 1933, 1963, 2290, 2672, 2705, 2737, 2777, 2827, 2843, 2905, 2938, 2972, 3019, 3052, 3073, 3080, 3089, 3098, 3107, 3115, 3144, 3148"
F0037,Freed Kanner London & Millen LLC,FREED KANNER LONDON & MILLEN LLC,"Freed Kanner London & Millen, LLC",Freed Kanner London & Millen,1,22,43,"1682, 1720, 1768, 1869, 1942, 1946, 1957, 2186, 2311, 2420, 2471, 2580, 2719, 2842, 2867, 2948, 3025, 3031, 3107, 3110, 3113, 3114"
F0038,Grant & Eisenhofer P.A.,"Grant & Eisenhofer, P.A.",Grant & Eisenhofer,Grant and Eisenhofer P.A.,1,29,43,"1688, 1720, 1725, 1749, 1938, 2027, 2058, 2084, 2196, 2233, 2258, 2284, 2332, 2338, 2415, 2420, 2441, 2481, 2516, 2521, 2573, 2590, 2657, 2672, 2768, 2775, 2827, 2973, 3140"
F0039,"Neblett, Beard & Arsenault","NEBLETT, BEARD & ARSENAULT",Neblett Beard & Arsenault,"Neblett, Beard & Arsenault, LLP",1,17,42,"1708, 1742, 1811, 1905, 2187, 2197, 2199, 2220, 2223, 2244, 2272, 2284, 2299, 2333, 2391, 2434, 2514"
F0040,Whitfield Bryson & Mason LLP,"Whitfield Bryson & Mason, LLP","Whitfield, Bryson & Mason, LLP",WHITFIELD BRYSON & MASON LLP,3,17,42,"1958, 2000, 2047, 2333, 2495, 2514, 2577, 2627, 2664, 2688, 2743, 2779, 2886, 2887, 2938, 2972, 3021"
F0041,DiCello Levitt Gutzler LLC,DiCello Levitt,DiCello Levitt Gutzler,DiCello Levitt LLP,5,25,41,"2314, 2331, 2543, 2580, 2724, 2768, 2800, 2827, 2828, 2879, 2904, 2905, 2909, 2972, 3004, 3019, 3026, 3060, 3079, 3087, 3089, 3094, 3107, 3115, 3148"
F0042,Lovell Stewart Halebian Jacobson LLP,Lovell Stewart Halebian LLP,Lovell Stewart & Halebian LLP,"Lovell, Stewart Halebian, LLP",3,15,40,"1775, 1780, 1807, 1869, 1935, 1946, 1957, 1996, 1997, 2002, 2031, 2213, 2262, 2389, 2481"
F0043,Miller Law LLC,"The Miller Law Firm, P.C.",The Miller Law Firm,The Miller Firm LLC,1,25,40,"1867, 1871, 1946, 1968, 1996, 1997, 2042, 2187, 2196, 2243, 2311, 2391, 2445, 2460, 2472, 2516, 2521, 2687, 2741, 2744, 2836, 2901, 3040, 3096, 3115"
F0044,"Cory Watson, P.C.","Cory, Watson, Crowder & DeGaris","Cory Watson Crowder & DeGaris, P.C.","CORY WATSON, P.C.",3,22,39,"1785, 1789, 1842, 1905, 1928, 2087, 2197, 2428, 2433, 2441, 2502, 2657, 2691, 2734, 2767, 2782, 2885, 2903, 2924, 2973, 3081, 3125"
F0045,"Boies, Schiller & Flexner LLP","Boies, Schiller & Flexner, L.L.P.",Boies Schiller Flexner LLP,"BOIES, SCHILLER & FLEXNER, L.L.P.",1,11,39,"1738, 1826, 1950, 2196, 2406, 2543, 2599, 2672, 2785, 2905, 3076"
F0046,"Weitz & Luxenberg, P.C.",Weitz & Luxenberg,"Weitz & Luxenberg, PC",WEITZ & LUXENBERG,2,24,38,"1657, 1708, 1742, 2087, 2197, 2243, 2272, 2299, 2391, 2570, 2672, 2741, 2750, 2768, 2782, 2789, 2797, 2820, 2873, 2885, 2973, 3014, 3080, 3140"
F0047,"Podhurst Orseck, P.A.","PODHURST ORSECK, P.A.",Podhurst Orseck,Podhurst Orseck P.A.,1,8,38,"2036, 2323, 2543, 2599, 2626, 2827, 2905, 2924"
F0048,"Parker, Waichman & Alonso","Parker Waichman, LLP",Parker Waichman LLP,Parker Waichman,3,25,37,"1742, 1842, 1909, 1968, 2000, 2023, 2051, 2068, 2187, 2197, 2220, 2223, 2244, 2272, 2299, 2333, 2391, 2434, 2440, 2495, 2514, 2924, 2973, 3006, 3089"
F0049,Wolf Haldenstein Adler Freeman & Herz LLP,Wolf Haldenstein Adler Freeman & Herz LLC,Wolf Haldenstein,"Wolf Haldenstein Adler Freeman & Herz, LLC",4,20,37,"1751, 1807, 1811, 1907, 1938, 1990, 1997, 2031, 2052, 2070, 2185, 2233, 2258, 2284, 2542, 2670, 2705, 2903, 3009, 3107"
F0050,Edelson PC,"Edelson McGuire, LLC","Edelson & Associates, LLC",EDELSON PC,2,14,34,"1817, 2103, 2167, 2250, 2261, 2514, 2595, 2633, 2873, 2879, 2985, 3001, 3121, 3148"
F0051,Anapol Schwartz,Anapol Weiss,"Anapol, Schwartz, Weiss, Cohon, Feldman, & Smalley, PC","Anapol, Schwartz, Weiss, Cohan, Feldman and Smalley, P.C.",6,20,32,"1657, 1708, 1763, 1842, 1928, 2187, 2197, 2244, 2272, 2323, 2391, 2545, 2657, 2789, 2816, 2873, 2924, 2973, 3026, 3140"
F0052,"Herman, Herman & Katz, LLC","HERMAN, HERMAN, KATZ & COTLAR, L.L.P.","Herman, Herman, Katz & Cotlar, LLP","Herman, Herman, Katz & Cotlar, L.L.P.",2,11,32,"1657, 2047, 2179, 2197, 2243, 2328, 2428, 2436, 2545, 2592, 2657"
F0053,Williams & Connolly LLP,WILLIAMS & CONNOLLY LLP,Williams & Connolly,"Williams & Connolly, LLP",1,6,32,"1657, 2724, 2873, 2924, 3103, 3140"
F0054,Bernstein Litowitz Berger & Grossmann LLP,Bernstein Litowitz Berger & Grossman LLP,"Bernstein, Litowitz, Berger & Grossmann, LLP","Bernstein, Litowitz, Berger & Grossmann LLP",2,17,32,"1658, 1725, 1741, 1777, 1898, 1919, 1933, 2011, 2017, 2027, 2058, 2185, 2335, 2389, 2672, 2742, 2795"
F0055,Whatley Drake & Kallas,"Whatley Drake, LLC",Whatley Drake & Kallas LLC,"Whatley Drake & Kallas, LLC",4,22,32,"1658, 1663, 1780, 1785, 1811, 1838, 1865, 1894, 1897, 1905, 1907, 1928, 1934, 1967, 1997, 2020, 2034, 2048, 2068, 2074, 2199, 2415"
F0056,"Spector Roseman Kodroff & Willis, P.C.","Spector Roseman & Kodroff, P.C.","Spector, Roseman & Kodroff, PC","SPECTOR ROSEMAN KODROFF & WILLIS, P.C.",2,14,32,"1745, 2081, 2184, 2186, 2311, 2437, 2445, 2460, 2472, 2931, 2966, 2993, 3107, 3113"
F0057,"Richardson, Patrick, Westbrook & Brickman, LLC","Richardson, Patrick, Westbook & Brickman","Richardson, Patrick, Westbrook & Brickman LLC","Richardson, Patrick, Westbrook and Brickman, LLC",3,11,31,"1674, 1742, 1785, 1865, 1895, 1953, 2089, 2333, 2502, 2873, 2885"
F0058,Garwin Gerstein & Fisher LLP,GARWIN GERSTEIN & FISHER LLP,"Garwin Gerstein & Fisher, LLP","Garwin Gerstein and Fisher, LLP",2,12,31,"1658, 1730, 1888, 2084, 2242, 2332, 2409, 2445, 2460, 2516, 2521, 2580"
F0059,"Heins Mills & Olson, P.L.C.","Heins Mills & Olson, PLC","Heins, Mills & Olson, PLC",Heins Mills & Olson PLC,5,18,30,"1431, 1708, 1869, 1957, 1999, 2221, 2332, 2445, 2460, 2481, 2514, 2516, 2521, 2522, 2551, 2583, 2619, 2819"
F0060,"Shepherd, Finkelman, Miller & Shah, LLP","Shepherd Finkelman Miller & Shah, LLC","SHEPHERD FINKELMAN MILLER & SHAH, LLP","SHEPHERD, FINKELMAN, MILLER & SHAH, LLP",6,17,30,"1911, 1920, 1995, 2001, 2316, 2332, 2333, 2407, 2409, 2445, 2460, 2472, 2516, 2540, 2688, 2724, 2792"
F0061,"Johnson Becker, PLLC",Johnson Becker,Johnson Becker PLLC,"Johnson // Becker, PLLC",1,18,30,"2187, 2272, 2331, 2391, 2434, 2440, 2452, 2502, 2545, 2691, 2816, 2973, 3014, 3026, 3079, 3087, 3092, 3094"
F0062,"The Dugan Law Firm, APLC","The Dugan Law Firm, LLC",DUGAN LAW FIRM,The Dugan Law Firm,2,19,29,"1657, 1938, 2242, 2243, 2332, 2409, 2428, 2445, 2460, 2472, 2492, 2521, 2724, 2754, 2878, 2996, 3026, 3080, 3140"
F0063,Heaviside Reed Zaic,HEAVISIDE REED ZAIC,,,1,5,29,"2244, 2452, 2502, 2570, 2641"
F0064,Gustafson Gluek PLLC,Gustafson Gluek P.L.L.C.,"Gustafson Gluek, PLLC",GUSTAFSON GLUEK PLLC,1,16,28,"1738, 1775, 1905, 2034, 2551, 2591, 2795, 2843, 2886, 2993, 2998, 3031, 3097, 3107, 3108, 3110"
F0065,Berman DeValerio,Berman DeValerio Pease Tabacco Burt & Pucillo,Berman Tabacco,BERMAN DEVALERIO,4,10,27,"1671, 1819, 1889, 1898, 1963, 2143, 2185, 2242, 2409, 2420"
F0066,Finkelstein Thompson LLP,Finkelstein Thompson,Finkelstein Thompson law firm,"Finkelstein Thompson, LLP",2,17,26,"1671, 1733, 1780, 1871, 1940, 1998, 2046, 2226, 2274, 2330, 2331, 2389, 2437, 2481, 2672, 2827, 2875"
F0067,"Barrett Law Group, P.A.","Barrett Law Group, PA","Barrett Law Office, P.A.",The Barrett Law Group,2,15,26,"1431, 1751, 2068, 2223, 2311, 2471, 2508, 2522, 2555, 2724, 2993, 2998, 3031, 3032, 3080"
F0068,Pomerantz LLP,Pomerantz Haudek Block Grossman & Gross LLP,Pomerantz Haudek Grossman & Gross LLP,POMERANTZ GROSSMAN HUFFORD DAHLSTROM & GROSS LLP,4,13,25,"1671, 1720, 2020, 2074, 2173, 2262, 2275, 2332, 2409, 2460, 2472, 2724, 2742"
F0069,"Shook Hardy & Bacon, L.L.P.","Shook, Hardy & Bacon LLP",SHOOK HARDY & BACON LLP,Shook Hardy & Bacon LLP,1,10,25,"1708, 1733, 1785, 1909, 2187, 2326, 2740, 2873, 2924, 3074"
F0070,"Babbitt, Johnson, Osborne & LeClainche","Babbitt, Johnson, Osborne & LaClainche","Babbitt, Johnson, Osborne & LeClainche, P.A.","Babbitt & Johnson, PA",5,7,25,"1928, 2187, 2272, 2391, 2441, 2570, 2641"
F0071,"Lite DePalma Greenberg, LLC","Lite DePalma Greenberg & Afanador, LLC","Lite DePalma Greenberg & Rivas, LLC","Lite DePalma and Greenberg, LLC",3,14,24,"1658, 1663, 1763, 2025, 2262, 2290, 2564, 2595, 2602, 2669, 2687, 2724, 2904, 3113"
F0072,Wexler Wallace LLP,Wexler Toriseva Wallace LLP,THE WEXLER LAW FIRM LLP,"Wexler, Toriseva Wallace LLP",3,17,24,"1730, 1745, 1820, 1842, 1850, 1905, 1946, 2034, 2187, 2332, 2409, 2445, 2460, 2575, 2688, 2966, 3031"
F0073,"BRANSTETTER, STRANCH & JENNINGS, PLLC","Branstetter, Stranch & Jennings, PLLC","Stranch, Jennings & Garvey, PLLC","Branstetter Stranch and Jennings, PLLC",3,12,24,"1928, 2242, 2332, 2343, 2419, 2472, 2672, 2903, 3032, 3035, 3127, 3140"
F0074,Troutman Pepper Hamilton Sanders LLP,Troutman Sanders LLP,"Troutman Sanders, LLP",,2,5,24,"2007, 2724, 2782, 2915, 2972"
