Firm_ID,Canonical_Firm,AKA_1,AKA_2,AKA_3,Variants_Merged,N_MDLs,N_Mentions,MDLs
F0012,"Robinson, Calcagnie & Robinson","Robinson Calcagnie Robinson Shapiro Davis, Inc.",Robinson Calcagnie,Robinson Calcagnie & Robinson Inc.,4,7,11,"1905, 1909, 1953, 2342, 2458, 3094, 3140"
F0013,"Clayeo C. Arnold, A Professional Law Corp.","Clayeo C. Arnold, A Profession Corporation",Clayeo C. Arnold A Professional Corporation,"Clayeo C. Arnold, APC",4,2,4,"2994, 3056"
F0014,"Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.","Beasley, Allen, Crow, Methvin, Portis & Miles, PC",Beasley Allen,"BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.",3,15,31,"1657, 1789, 2223, 2342, 2502, 2583, 2903, 2905, 2924, 3004, 3015, 3051, 3094, 3114, 3140"
F0015,"Levin, Fishbein, Sedran & Berman",Levin Sedran & Berman LLP,Levin Fishbein Sedran & Berman,Levin Sedran & Berman,3,19,66,"1657, 1763, 1775, 1817, 2000, 2223, 2274, 2290, 2342, 2359, 2514, 3014, 3050, 3056, 3083, 3089, 3094, 3108, 3114"
F0016,"Levin, Papantonio, Thomas, Mitchell, Echsner & Proctor, P.A.","LEVIN, PAPANTONIO, THOMAS, MITCHELL, ECHSNER & PROCTOR, PA","Levin, Papantonio, Thomas, Mitchell, Echsner & Procter, PA","Levin Papantonio Thomas Mitchell Eschner & Proctor, P.A.",3,7,9,"1657, 1708, 1742, 1789, 1909, 1928, 1968"
F0017,Berman DeValerio,Berman DeValerio Pease Tabacco Burt & Pucillo,Berman DeValerio LLP,BERMAN DEVALERIO,3,8,16,"1671, 1819, 1889, 1898, 1963, 2143, 2242, 2409"
F0018,"Carlson Lynch, LLP","Carlson Lynch Sweet Kilpela & Carpenter, LLP",Carlson Lynch LTD.,Carlson Lynch,3,7,16,"1674, 2583, 2948, 2968, 2969, 2972, 2984"
F0019,Robbins Geller Rudman & Dowd LLP,Coughlin Stoia Geller Rudman & Robbins LLP,Lerach Coughlin Stoia Geller Rudman & Robbins LLP,Coughlin Stoia Geller Rudman & Robbins,3,32,61,"1658, 1675, 1704, 1706, 1780, 1791, 1820, 1825, 1850, 1895, 1897, 1940, 2007, 2052, 2075, 2082, 2186, 2188, 2199, 2238, 2254, 2258, 2481, 2521, 2905, 2921, 2924, 2972, 2996, 3080, 3089, 3096"
F0020,Whatley Drake & Kallas,"Whatley Drake, LLC",Whatley Drake & Kallas LLC,"Whatley Drake & Kallas, LLC",3,16,23,"1658, 1780, 1785, 1811, 1838, 1865, 1897, 1905, 1907, 1928, 1934, 1967, 1997, 2068, 2074, 2199"
F0021,"James, Hoyer, Newcomer & Smiljanich","James Hoyer Newcomer & Smiljanich, P.A.","James, Hoyer, Newcomber & Smiljanich, P.A.","James, Hoyer, Newcomer, Smiljanich & Yanchunis, P.A.",3,3,4,"1715, 1825, 2173"
F0022,"Heins Mills & Olson, P.L.C.","Heins, Mills & Olson, PLC",Heins Mills & Olson PLC,"Heins, Mills & Olson, P.L.C.",3,8,17,"1708, 1957, 1999, 2481, 2514, 2521, 2583, 2619"
F0023,"Kantrowitz, Goldhamer & Graifman, P.C.","Kantrowitz, Goldhammer & Graifman, PC",Goldhammer & Graifman,"KANTROWITZ, GOLDHAMER & GRAIFMAN, P.C.",3,6,7,"1725, 2583, 2903, 2972, 3078, 3115"
F0024,Wolf Haldenstein Adler Freeman & Herz LLP,Wolf Haldenstein Adler Freeman & Herz LLC,"Wolf Haldenstein Adler Freeman & Herz, LLC","WOLF HALDENSTEIN ADLER FREEMAN & HERZ, LLC",3,15,26,"1751, 1807, 1811, 1907, 1990, 1997, 2031, 2052, 2070, 2233, 2258, 2284, 2903, 3009, 3107"
F0025,Lovell Stewart Halebian Jacobson LLP,Lovell Stewart Halebian LLP,Lovell Stewart & Halebian LLP,"Lovell, Stewart Halebian, LLP",3,12,28,"1775, 1780, 1807, 1935, 1946, 1957, 1996, 1997, 2031, 2213, 2389, 2481"
F0026,"Cotchett, Pitre & McCarthy","Cotchett, Pitre & McCarthy, LLP",Cotchett Pitre & McCarthy,"Cotchett, Pitre, & McCarthy, LLP",3,26,44,"1775, 1780, 1793, 1807, 1819, 1968, 1972, 1987, 2017, 2109, 2143, 2145, 2233, 2335, 2451, 2471, 2992, 2993, 3031, 3040, 3051, 3089, 3107, 3114, 3115, 3119"
F0027,Stueve Siegel Hanson LLP,Stueve Siegel Hanson Woody LLP,Stueve Siegel Hanson LLP - KCMO,STUEVE SIEGEL HANSON LLP,3,13,31,"1786, 2086, 2138, 2361, 2583, 2915, 2955, 2975, 3019, 3073, 3098, 3108, 3115"
F0028,"Cory, Watson, Crowder & DeGaris","Cory Watson, P.C.","Cory, Watson, Crowder & DeGaris, P.C.","Corey, Watson, Crowder & DeGaris, P.C.",3,12,19,"1785, 1789, 1842, 1905, 1928, 2087, 2502, 2903, 2924, 2973, 3081, 3125"
F0029,"Williams, Kherkher, Hart & Boundas LLP","Williams Kherkher Hart Boundas, LLP","Williams Kherkher Hart Boundas, LLC","Williams, Kherker, Hart, Boundas, LLP",3,5,6,"1842, 1905, 1928, 2068, 3084"
F0030,"Casey Gerry Schenk Francavilla Blatt & Penfield, LLP",Casey Gerry Francavilla Blatt LLP,Casey Gerry Schenk Francavilla Blatt & Penfield,"Casey, Gerry Schenk Francavilla Blatt & Penfield, LLP",3,8,13,"2087, 2258, 2905, 2992, 3040, 3098, 3115, 3149"
F0031,DiCello Levitt Gutzler LLC,DiCello Levitt,DiCello Levitt LLP,Dicello Levitt Gutzler,3,16,29,"2314, 2904, 2905, 2909, 2972, 3004, 3019, 3026, 3060, 3079, 3087, 3089, 3094, 3107, 3115, 3148"
F0032,Tennessee Attorney General's Office,Colorado Attorney General's Office,California Attorney General's Office,,3,2,3,"2446, 3047"
F0033,Milberg Weiss & Bershad LLP,Milberg Weiss Bershad & Schulman LLP,"Milberg Weiss Bershad & Schulman, LLP",,2,3,7,"1656, 1658, 1671"
F0034,"BARRIOS, KINGSDORF & CASTIEX, LLP","Barrios, Kingsdorf & Casteix, LLP",Barrios Kingsdorf & Casteix,,2,2,7,"1657, 2299"
F0035,"Hill Toriseva & Williams, PLLC",Hill Williams,,,2,3,4,"1657, 1708, 1909"
F0036,"Herman, Herman & Katz, LLC","HERMAN, HERMAN, KATZ & COTLAR, L.L.P.","Herman, Herman, Katz & Cotlar, L.L.P.","Herman, Herman, Katz & Cotlar, LLP",2,2,20,"1657, 2328"
F0037,"BLIZZARD, MCCARTHY & NABERS, L.L.P.","Blizzard, McCarthy & Nabers","Blizzard, McCarthy & Nabers LLC",Blizzard & Nabers,2,5,6,"1657, 1968, 2004, 2342, 2458"
F0038,"Weitz & Luxenberg, P.C.",Weitz & Luxenberg,WEITZ & LUXENBERG,"Weitz & Luxenberg, PC",2,9,13,"1657, 1708, 1742, 2087, 2299, 2973, 3014, 3080, 3140"
F0039,CAFFERTY FAUCHER LLP,"Cafferty Faucher, LLP",Cafferty Faucher LLP,Miller Faucher and Cafferty,2,5,6,"1657, 1715, 1997, 2334, 2373"
F0040,Labaton Sucharow LLP,LABATON SUCHAROW LLP,Labaton Sucharow,"Labaton Sucharow, LLP",2,19,73,"1657, 1745, 1749, 1775, 1888, 1935, 1942, 1957, 1963, 2007, 2027, 2186, 2196, 2213, 2284, 2328, 2389, 2966, 2993"
F0041,KLAFTER OLSEN & LESSER LLP,Klafter Lesser LLP,,,2,3,6,"1657, 2025, 2989"
F0042,"COHEN, PLACITELLA & ROTH","Cohen, Placitella & Roth","Cohen, Placitella & Roth, A Professional Corporation",,2,3,5,"1657, 1763, 1817"
F0043,Bernstein Litowitz Berger & Grossmann LLP,Bernstein Litowitz Berger & Grossman LLP,"Bernstein, Litowitz, Berger & Grossmann, LLP","Bernstein, Litowitz, Berger & Grossmann LLP",2,13,27,"1658, 1725, 1741, 1777, 1898, 1919, 1933, 2011, 2017, 2027, 2058, 2335, 2389"
F0044,Finkelstein Thompson LLP,Finkelstein Thompson law firm,"Finkelstein, Thompson & Loughran",Finkelstein Thompson & Loughran,2,11,16,"1671, 1733, 1780, 1940, 1998, 2046, 2226, 2274, 2330, 2389, 2481"
F0045,Kirby McInerney LLP,Kirby McInerney & Squire LLP,KIRBY McINERNEY LLP,Kirby McInerney,2,8,12,"1671, 1741, 1935, 1946, 1957, 2968, 3031, 3119"
F0046,"Much Shelist Freed Denenberg Ament & Rubenstein, P.C.","Much, Shelist, Freed, Denenberg, Ament & Rubenstein, P.C.","Much Shelist Freed Denenberg Ament & Rubenstein, PC","MUCH SHELIST FREED DENENBERG AMENT & RUBENSTEIN, P.C.",2,2,6,"1682, 1768"
F0047,"Walters Bender Strohbehn & Vaughan, P.C.","Walters Bender Strohbehn Vaughn, PC",Walters Bender Strohbehn & Vaughan,"WALTERS BENDER STROHBEHN & VAUGHAN, P.C.",2,4,10,"1674, 1785, 1840, 1967"
F0048,Kaplan Fox & Kilsheimer LLP,"Kaplan, Fox & Kilsheimer, LLP",Kaplan Fox and Kilsheimer LLP,"Kaplan Fox & Kilsheimer, LLP",2,21,73,"1682, 1684, 1775, 1895, 1912, 1933, 1940, 1972, 1997, 2058, 2086, 2143, 2275, 2314, 2328, 2358, 2471, 2508, 2583, 2931, 3097"
F0049,Garwin Gerstein & Fisher LLP,GARWIN GERSTEIN & FISHER LLP,"Garwin Gerstein & Fisher, LLP","Garwin, Gerstein & Fisher LLP",2,6,14,"1658, 1730, 1888, 2242, 2409, 2521"
F0050,Cohn Lifland Pearlman Herrmann & Knopf LLP,COHN LIFLAND PEARLMAN HERRMANN & KNOPF LLP,"Cohn, Lifland, Pearlman, Herrmann & Knopf LLP",Cohn Lifland Peariman Herrmann & Knopf LLP,2,4,7,"1658, 1730, 2471, 3080"
F0051,"Saveri & Saveri, Inc","Joseph Saveri Law Firm, Inc.","Saveri & Saveri, Inc.","The Joseph Saveri Law Firm, Inc.",2,4,6,"1717, 2143, 2521, 2966"
F0052,"Lite DePalma Greenberg & Rivas, LLC","Lite DePalma and Greenberg, LLC","Lite DePalma & Greenberg, LLC","Lite DePalma Greenberg, LLC",2,7,10,"1658, 1763, 2025, 2290, 2564, 2602, 2904"
F0053,Lockridge Grindal Nauen PLLP,Lockridge Grindal Nauen P.L.L.P.,"Lockridge Grindal Nauen, PLLP",LOCKRIDGE GRINDAL NAUEN PLLP,2,34,71,"1658, 1708, 1775, 1817, 1905, 1942, 1943, 1958, 1990, 1996, 2000, 2098, 2223, 2247, 2264, 2274, 2290, 2359, 2583, 2903, 2915, 2948, 2993, 2998, 3031, 3074, 3079, 3083, 3097, 3107, 3108, 3110, 3113, 3148"
F0054,National Consumer Law Center,The National Consumer Law Center,"Chicago Consumer Law Center, P.C.",,2,4,4,"1715, 2274, 2290, 2948"
F0055,"Law Offices of Daniel E. Becnel, Jr.",Daniel Becnel Law Office,,,2,3,3,"1708, 1742, 2220"
F0056,ABBEY SPANIER RODD ABRAMS & PARADIS LLP,"ABBEY SPANIER RODD ABRAMS & PARADIS, LLP","Abbey Spanier Rodd & Abrams, LLP",,2,3,3,"1730, 1737, 2167"
F0057,"Murray, Frank & Sailer, L.L.P.","Murray Frank, LLP",,,2,2,2,"1749, 2167"
F0058,Bartlit Beck Herman Palenchar & Scott LLP,"Bartlit Beck Herman Palenchar & Scott, LLP",Bartlit Beck,,2,5,9,"1733, 1909, 1928, 2023, 2284"
F0059,Kilpatrick Stockton LLP,KILPATRICK TOWNSEND & STOCKTON LLP,,,2,2,2,"1733, 2200"
F0060,"Botros, Behnke & Schulte","Behnke, Martin & Schulte, LLC",,,2,2,2,"1742, 2226"
F0061,Glancy Binkow & Goldberg LLP,Glancy Binkow and Goldberg LLP,"Glancy Binkow & Goldberg, LLP",Glancy Binkow & Goldberg,2,6,10,"1739, 1891, 2173, 2186, 2269, 2357"
F0062,"Spector Roseman Kodroff & Willis, P.C.","Spector Roseman & Kodroff, P.C.","Spector, Roseman & Kodroff, PC","SPECTOR ROSEMAN & KODROFF, P.C.",2,8,22,"1745, 2081, 2186, 2931, 2966, 2993, 3107, 3113"
F0063,"Robins, Kaplan, Miller & Ciresi L.L.P.","Robins, Kaplan, Miller & Ciresi LLP","ROBINS, KAPLAN, MILLER & CIRESI L.L.P.","Robins, Kaplan, Miller & Cirisi LLP",2,5,13,"1775, 1935, 2196, 2213, 2471"
F0064,"Furth Lehmann & Grant, LLP",Furth Lehmann LLP,,,2,2,2,"1775, 1826"
F0065,"Zelle Hofmann Voelbel Mason & Gette, LLP","Zelle, Hoffman, Voelbel, Mason & Gette-MN","Zelle, Hofmann, Voelbel, Mason & Gette LLP",,2,5,6,"1775, 1819, 1826, 1827, 1957"
F0066,"McGowan, Hood, Felder & Johnson","McGowan, Hood, Felder & Phillips, LLC",,,2,2,4,"1785, 3107"
F0067,Goldman Scarlato & Karon,"Goldman, Scarlato, Karon & Penny, PC",,,2,2,3,"1785, 2409"
F0068,"Murdock, Goldenberg, Schneider & Groh, LPA","Goldenberg Schneider, LPA",,,2,2,6,"1796, 2316"
F0069,"Ogletree, Deakins, Nash, Smoak & Stewart, P.C",Ogletree Deakins,,,2,2,5,"1796, 2945"
F0070,Zelle Hofmann Voelbel & Mason LLP,Zelle Hoffman Voelbel & Mason LLP,,,2,3,4,"1819, 1827, 2029"
F0071,Blackwell Sanders Peper Martin LLP,"Blackwell Sanders, LLP",,,2,2,2,"1811, 1840"
F0072,"Bonnett, Fairbourn, Friedman & Balint, P.C.","Bonnett, Fairbourn, Friedman, & Balint, P.C.","Bonnett, Fairbourn, Friedman & Balint, PC","BONNETT FAIRBOURN FRIEDMAN & BALINT, P.C.",2,7,14,"1825, 1974, 2074, 2087, 2238, 2324, 2994"
F0073,"Horn Aylward & Bandy, LLC","HORN AYLWARD & BANDY, LLC","Horn Alward & Bandy, LLC","Horn, Aylward & Bandy, LLC",2,2,14,"1840, 2936"
F0074,Parker Waichman Alonso LLP,"Parker, Waichman, Alonso LLP","Parker Waichman & Alonso, LLP","Parker, Waichman & Alonso, LLP",2,9,9,"1842, 1909, 1968, 2023, 2051, 2068, 2220, 2223, 2299"
F0075,"Foote, Meyers, Mielke & Flowers, LLC","Meyers & Flowers, LLC","Foote, Meyers, Mielke & Flowers, L.L.C.",,2,4,5,"1865, 1997, 2023, 3004"
F0076,"Barkan Neff Handelman Meizlish, LLP",Barakan Neff Handelman Meizlish LLP,,,2,2,2,"1854, 2025"
F0077,"Gainsburgh, Benjamin, David, Meunier & Warshauer, L.L.C.","Gainsburgh, Benjamin","Gainsburgh, Benjamin, David, Meunier & Warshauer, LLC","Gainsburgh, Benjamin, David, Meunier & Warshauer, L.L.C",2,3,12,"1873, 2328, 3014"
F0078,"Doffermyre Shields Canfield & Knowles, LLC",Doffermyre Shields Canfield Knowles & Devine,,,2,2,3,"1895, 2583"
F0079,"Shepherd, Finkelman, Miller & Shah, LLP","Shepherd Finkelman Miller & Shah, LLC","SHEPHERD FINKELMAN MILLER & SHAH, LLP","SHEPHERD, FINKELMAN, MILLER & SHAH, LLP",2,10,18,"1911, 1920, 1995, 2001, 2316, 2333, 2407, 2409, 2540, 2688"
F0080,Kozyak Tropin & Throckmorton LLP,Koyzak Tropin & Throckmorton LLP,Kozyak Tropin & Throckmorton,"Kozyak Tropin & Throckmorton, LLP",2,4,6,"1907, 2619, 3071, 3080"
F0081,DLA PIPER LLP,DLA Piper US LLP,DLA PIPER LLP (US),,2,2,6,"1909, 2924"
F0082,"BRANSTETTER, STRANCH & JENNINGS, PLLC","Branstetter, Stranch & Jennings, PLLC","Stranch, Jennings & Garvey, PLLC","Branstetter, Stranch & Jennings PLLC",2,7,17,"1928, 2242, 2343, 2903, 3032, 3035, 3127"
F0083,"Kahn Swick & Foti, LLC","Kahn, Gauthier, Swick, LLC",,,2,2,5,"1931, 2058"
F0084,Mayer Brown LLP,Mayer Brown LLP (NY),,,2,3,5,"1905, 2968, 3071"
F0085,"Napoli, Bern, Ripka, LLP","NAPOLI BERN RIPKA, LLP",Napoli Bern Ripka Shkolnik LLP,,2,2,3,"1928, 2385"
F0086,"Carey, Danis & Lowe",Carey Danis & Lowe,"Carey & Danis, L.L.C.","Carey and Danis, LLC",2,7,14,"1928, 1943, 2001, 2269, 2290, 3004, 3078"
F0087,Sidley Austin LLP,Sidley Austin (Chicago),,,2,2,2,"1928, 2299"
F0088,"Quinn Emanuel Urquhart & Sullivan, LLP",Quinn Emanuel Urquhart & Sullivan LLP,Quinn Emanuel,"Quinn, Emanuel, Urquhart & Sullivan, LLP",2,10,28,"1938, 2196, 2342, 2476, 2502, 2577, 2925, 2931, 3062, 3103"
F0089,ARNOLD & PORTER KAYE SCHOLER LLP,Arnold & Porter LLP,"Arnold & Porter, LLP",Arnold & Porter,2,3,8,"1953, 2068, 2924"
F0090,Whitfield Bryson & Mason LLP,"Whitfield Bryson & Mason, LLP","Whitfield, Bryson & Mason, LLP","WHITFIELD BRYSON & MASON, LLP",2,9,24,"1958, 2000, 2333, 2514, 2577, 2688, 2938, 2972, 3021"
F0091,"Gibson, Dunn & Crutcher LLP","Gibson, Dunn & Curtcher LLP","Gibson, Dunn & Crutcher LLC",,2,3,9,"1972, 3032, 3071"
F0092,"Pittman, Dutton, Kirby & Hellums, P.C.","Pittman, Dutton, Kirby & Hellums","Pittman, Dutton & Hellums, P.C.",,2,3,4,"1985, 2087, 2903"
F0093,Shepherd Finkelman Miller & Shah - Chester,Shepherd Finkelman Miller & Shah - San Diego,,,2,1,2,2001
F0094,"Foley, Bezek, Behle & Curtis","Foley, Bezek, Behle & Curtis, LLP",Foley Bezek Behle & Curtis,"Foley, Bezek, Behele & Curtis",2,3,4,"2028, 2054, 2141"
F0095,Kiesel Boucher Larson LLP,"Kiesel, Boucher & Larson, LLP",Kiesel Boucher law firm,,2,3,4,"2074, 2314, 2330"
F0096,Conley Griggs LLP,Conley Griggs Partin LLP,,,2,2,3,"2089, 2583"
F0097,"Glancy Prongay & Murray, LLP",Glancy Prongay & Murray LLP,"Glancy, Prognay & Murray LLP",,2,3,6,"2186, 2357, 2668"
F0098,"Isaac Wiles Burkholder & Teetor, LLC","Isaac, Wiles, Burkholder & Teeter, LLC",,,2,2,5,"2233, 2661"
F0099,Attorneys General of the State of Texas,Attorneys General of the State of Ohio,,,2,1,2,2293
F0100,"Andrus & Wagstaff, P.C.","Andrus, Hood & Wagstaff, PC",,,2,2,3,"2299, 2973"
F0101,Eichen Crutchlow Zaslow LLP,"Eichen, Crutchlow, Zaslow and McElroy LLP",,,2,2,2,"2314, 2443"
F0102,Levin Papantonio,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A.","LEVIN, PAPANTONIO, THOMAS, MITCHELL, RAFFERTY & PROCTOR, P.A.",,2,4,7,"2357, 2924, 3044, 3140"
F0103,"Carella, Byrne, Cecchi, Olstein, Brody & Agnello, P.C.","Carella Byrne Cecchi Olstein Brody & Agnello, P.C.","Carella, Byrne, Cecchi, Brody & Agnello, P.C.","CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & AGNELLO, P.C.",2,19,35,"2361, 2415, 2471, 2506, 2514, 2540, 2577, 2904, 2948, 2973, 3051, 3073, 3080, 3089, 3090, 3108, 3113, 3114, 3149"
F0104,Morgan & Morgan Complex Litigation Group,Complex Litigation Group LLC,"Complex Litigation Group, LLC",Morgan and Morgan Complex Litigation Group,2,8,14,"2361, 2415, 2506, 2577, 2583, 2915, 3014, 3115"
F0105,Baillon Thume Jozwiak Miller & Wanta LLP,Baillon Thome Jozwiak & Wanta LLP,BAILLON THOME JOZWIAK & WANTA LLP,,2,2,3,"2359, 2564"
F0106,Francis Mailman Soumilas P.C.,"Francis & Mailman, P.C.",,,2,2,8,"2426, 2933"
F0107,"DeNittis Osefchen, P.C.","Denittis Osefchen Prince, P.C.",,,2,3,3,"2439, 2588, 2903"
F0108,"Gordon & Rees, LLP","Gordon Rees Scully Mansukhani, LLP",,,2,2,4,"2478, 3090"
F0109,Hogan Lovells US LLP,"Hogan Lovells, LLP",,,2,3,14,"2617, 3071, 3108"
F0110,"Bryant Law Center, P.S.C.","BRYANT LAW CENTER, P.S.C.","Bryant Law Center, PSC",,2,2,8,"2936, 2996"
F0111,"Malters, Shepher & Von Holtum","Malters, Shepherd & Von Holtum",,,2,1,5,2936
F0112,"Milberg Coleman Bryson Phillips Grossman, PLLC",Milberg Coleman Bryson Phillips Grossman PLLC,Milberg Coleman Bryson Phillips Grossman,"MILBERG COLEMAN BRYSON PHILLIPS GROSSMAN, PLLC",2,13,23,"2938, 2988, 3009, 3025, 3032, 3035, 3056, 3059, 3078, 3096, 3108, 3127, 3149"
F0113,"MARTIN, HARDING & MAZZOTTI","Harding Mazzotti, LLP",Harding Mazzotti,,2,3,3,"2924, 3029, 3140"
F0114,Cafferty Clobes Meriwether & Sprengel LLP,Cafferty Clobes Meriwether & Sprengel LLP-IL,,,2,4,8,"2968, 3031, 3071, 3115"
F0115,"Levin, Papantonio, Rafferty, Proctor, Buchanan, O’Brien, Barr & Mougey, P.A.","Levin Papantonio Rafferty Proctor Buchanan O’Brien Barr Mougey, P.A.","LEVIN, PAPANTONIO, RAFFERTY, PROCTOR, BUCHANAN, O’BRIEN, BARR & MOUGEY, P.A.","Levin, Papantonio, Proctor, Buchanan, O’Brien, Barr & Mougey, P.A.",2,11,18,"2973, 3004, 3014, 3026, 3029, 3051, 3079, 3080, 3089, 3092, 3094"
F0116,Colson Hicks Edison,Colson Hicks Eidson,,,2,2,2,"2973, 2994"
F0117,Tousley Brain and Stephens,Tousley Brain Stephens PLLC,Tousley Brian Stephens PLLC,,2,5,7,"2985, 3001, 3019, 3073, 3114"
F0118,"Weisman, Kennedy & Berris Co., L.P.A.","Weisman, Kennedy & Berris",Weisman Kennedy & Berris Co. LPA,,2,3,4,"3004, 3080, 3140"
F0119,"Herzfeld, Suetholz, Gastel, Leniski and Wall, PLLC","HERZFELD, SUETHOLZ, GASTEL, LENISKI, AND WALL, PLLC","Herzfeld, Suetholz, Gastel, Leniski, and Wall, PLLC","Herzfeld Suetholz Gastel Liniski & Wall, PLLC",2,4,7,"3026, 3071, 3079, 3092"
F0120,Hellmuth & Johnson PLL C,Hellmuth & Johnson PLLC,,,2,1,4,2993
F0121,Javerbaum Wurgaft Hicks Kahn Wikstrom & Sinins PC,"JAVERBAUM WURGAFT HICKS KAHN WIKSTROM & SININS, P.C.","Javerbaum Wurgaft Hicks Kahn & Sinins, P.C.",,2,2,5,"3081, 3113"
F0122,Critchley & Kinum,"CRITCHLEY, KINUM & LURIA, LLC",,,2,1,2,3113
F0123,"DAVIS, BETHUNE & JONES, LLC",,,,1,1,2,1657
F0124,Wagstaff & Cartmell,"Wagstaff & Cartmell, LLP",WAGSTAFF & CARTMELL LLP,Wagstaff & Cartmell LLP,1,11,15,"1657, 2342, 2458, 2936, 3026, 3073, 3080, 3081, 3089, 3094, 3140"
F0125,Branch Law Firm,,,,1,2,3,"1657, 2502"
F0126,Burg Simpson Eldredge Hersh & Jardine,"Burg Simpson Eldredge Hersh & Jardine, P.C.","Burg, Simpson, Eldredge, Hersh & Jardine","Burg Simpson Eldredge Hersh Jardine, P.C.",1,6,11,"1657, 1742, 1909, 1953, 2100, 2973"
F0127,Girardi and Keese,Girardi | Keese,GIRARDI & KEESE,Girardi & Keese,1,4,11,"1657, 1807, 2186, 2404"
F0128,Lanier Law Firm,The Lanier Law Firm,THE LANIER LAW FIRM,"Lanier Law Firm, P.C.",1,8,15,"1657, 1953, 2502, 2973, 3036, 3080, 3081, 3114"
F0129,Singleton Law Firm,The Singleton Law Firm,,,1,2,4,"1657, 2299"
