kind,pair_key,verdict,confidence,source,a,b
attorney,att|michael.lehmann.furth-grant-lehmann.2|michael.lehmann.hausfeld.2,same,medium,llm-batch,"names: Michael P. Lehmann, Michael Lehmann | firm(s): Furth Lehmann & Grant, LLP; Furth Lehmann LLP | MDLs: 1775, 1826 | corpus: new_extracted | mentions: 2","names: Michael Lehmann | firm(s): Hausfeld LLP; HAUSFELD LLP | MDLs: 2007, 2335 | corpus: new_extracted | mentions: 2"
attorney,att|isaac.diel.mcqueen-sharp.5|issac.diel..2,same,high,llm-batch,"names: Isaac Diel, Isaac L. Diel | firm(s): Sharp Law LLP; Sharp McQueen PA | MDLs: 1785, 2328, 2993 | corpus: new_extracted | mentions: 5",names: Issac Diel | firm(s): (no firm recorded) | MDLs: 2328 | corpus: new_extracted | mentions: 2
attorney,att|mitchell.breit.conroy-hanly-simmons.3|mitchell.breit.drake-kallas-whatley.1,same,medium,llm-batch,names: Mitchell M. Breit | firm(s): Whatley Drake & Kallas | MDLs: 1785 | corpus: new_extracted | mentions: 1,"names: Mitchell M. Breit, Mitchell Breit | firm(s): SIMMONS HANLY CONROY; SIMMONS HANLY CONROY LLC; Simmons Hanly Conroy, LLC | MDLs: 2709, 2886 | corpus: old_e"
attorney,att|wendy.fleischman.bernstein-cabraser-heimann-lieff.2|wendy.fleishman.bernstein-cabraser-heimann-lief-lieff.16,same,high,llm-web,"names: Wendy R. Fleishman, Wendy Fleishman, Wendy R Fleishman | firm(s): Lieff, Cabraser, Heimann & Bernstein, LLP; Lieff Cabraser Heimann & Bernstein, LLP; Lie","names: Wendy Fleischman, Wendy R. Fleischman | firm(s): Lieff, Cabraser, Heimann & Bernstein, LLP; Lieff Cabraser Heimann & Bernstein LLP | MDLs: 2754, 2859 | c"
attorney,att|eric.quetglas.quetglas.1|eric.quetglasjordan.archie-kirk-lamb-quetglas-wood.5,same,high,llm-batch,names: Eric Quetglas | firm(s): Quetglas Law Offices | MDLs: 1785 | corpus: new_extracted | mentions: 1,"names: Eric M. Quetglas-Jordan | firm(s): Quetglas/Archie Lamb/Kirk Wood; Quetglas Law Offices | MDLs: 1905, 1953 | corpus: new_extracted | mentions: 5"
attorney,att|eric.quetglajordan..1|eric.quetglas.quetglas.1,same,high,llm-web,names: Eric Quetglas | firm(s): Quetglas Law Offices | MDLs: 1785 | corpus: new_extracted | mentions: 1,names: Eric M. Quetgla-Jordan | firm(s): (no firm recorded) | MDLs: 1960 | corpus: new_extracted | mentions: 1
attorney,att|eric.quetglajordan..1|eric.quetglasjordan.archie-kirk-lamb-quetglas-wood.5,same,high,llm-web,"names: Eric M. Quetglas-Jordan | firm(s): Quetglas/Archie Lamb/Kirk Wood; Quetglas Law Offices | MDLs: 1905, 1953 | corpus: new_extracted | mentions: 5",names: Eric M. Quetgla-Jordan | firm(s): (no firm recorded) | MDLs: 1960 | corpus: new_extracted | mentions: 1
attorney,att|jeffery.smith.adler-freeman-haldenstein-herz-wolf.1|jeffrey.smith.adler-freeman-haldenstein-herz-wolf.1,same,high,llm-batch,names: Jeffery G. Smith | firm(s): Wolf Haldenstein Adler Freeman & Herz LLP | MDLs: 1807 | corpus: new_extracted | mentions: 1,names: Jeffrey G. Smith | firm(s): Wolf Haldenstein Adler Freeman & Herz LLP | MDLs: 1807 | corpus: new_extracted | mentions: 1
attorney,att|steven.hart.eldridge-hart-mclaughlin.1|steven.hart.mahoney-mccambridge-segal-singer.4,same,high,llm-web,"names: Steven A. Hart | firm(s): Segal, McCambridge, Singer & Mahoney; Segal McCambridge Singer & Mahoney; Segal McCambridge Singer & Mahoney, Ltd. | MDLs: 1822",names: Steven A. Hart | firm(s): Hart McLaughlin & Eldridge | MDLs: 2796 | corpus: old_extracted | mentions: 1
attorney,att|stephen.cor.mellon-shelly-webster.1|steven.cherry.cutler-dorr-hale-pickering-wilmer.1,distinct,high,llm-batch,names: Steven F. Cherry | firm(s): Wilmer Cutler Pickering Hale and Dorr LLP | MDLs: 1827 | corpus: new_extracted | mentions: 1,"names: Stephen A.Cor | firm(s): MELLON, WEBSTER & SHELLY | MDLs: 1995 | corpus: new_extracted | mentions: 1"
attorney,att|stephen.corr.mellon-shelly-stark-webster.9|steven.cherry.cutler-dorr-hale-pickering-wilmer.1,distinct,high,llm-batch,names: Steven F. Cherry | firm(s): Wilmer Cutler Pickering Hale and Dorr LLP | MDLs: 1827 | corpus: new_extracted | mentions: 1,"names: Stephen A. Corr, Stephen Corr | firm(s): Stark & Stark, P.C.; Mellon, Webster & Shelly | MDLs: 1871, 2342, 2458 | corpus: new_extracted/old_extracted | m"
attorney,att|stephen.cor.mellon-shelly-webster.1|stephen.corr.mellon-shelly-stark-webster.9,same,high,llm-web,"names: Stephen A.Cor | firm(s): MELLON, WEBSTER & SHELLY | MDLs: 1995 | corpus: new_extracted | mentions: 1","names: Stephen A. Corr, Stephen Corr | firm(s): Stark & Stark, P.C.; Mellon, Webster & Shelly | MDLs: 1871, 2342, 2458 | corpus: new_extracted/old_extracted | m"
attorney,att|schwartz.steven.chimicles-tikellis.1|steven.schwartz.chimicles-donaldson-kriner-schwartz-smith-tikellis.4,same,high,llm-batch,"names: Steven A. Schwartz | firm(s): Chimicles & Tikellis, LLP; Chimicles & Tikellis LLP; Chimicles Schwartz Kriner & Donaldson-Smith LLP | MDLs: 1817, 2001, 30",names: Schwartz A Steven | firm(s): Chimicles & Tikellis LLP | MDLs: 2001 | corpus: new_extracted | mentions: 1
attorney,att|robert.darroch.goodman-johnson-lindsey-mcguffey.2|robert.derose.barakan-barkan-handelman-meizlish-neff.2,distinct,high,llm-batch,"names: Robert E. DeRose, Robert E. DeRose, II [suffix 2] | firm(s): Barkan Neff Handelman Meizlish, LLP; Barakan Neff Handelman Meizlish LLP | MDLs: 1854, 2025 ","names: Robert M. Darroch | firm(s): Goodman McGuffey Lindsey & Johnson, LLP | MDLs: 2047 | corpus: old_extracted | mentions: 2"
attorney,att|james.walsh.mcguirewoods.2|james.welsh.mcguirewoods.2,same,high,llm-web,names: James H. Welsh | firm(s): McGuireWoods LLP | MDLs: 1845 | corpus: new_extracted | mentions: 2,names: James Walsh | firm(s): McGuireWoods LLP | MDLs: 2196 | corpus: new_extracted | mentions: 2
attorney,att|matt.moreland..1|matthew.moreland..1,same,medium,llm-batch,names: Matt Moreland | firm(s): (no firm recorded) | MDLs: 1873 | corpus: new_extracted | mentions: 1,names: Matthew B. Moreland | firm(s): (no firm recorded) | MDLs: 2328 | corpus: new_extracted | mentions: 1
attorney,att|robert.abrams.howery.2|robert.abrams.howrey.1,same,high,llm-batch,names: Robert G. Abrams | firm(s): Howrey LLP | MDLs: 1895 | corpus: new_extracted | mentions: 1,names: Robert G. Abrams | firm(s): Howery LLP | MDLs: 1899 | corpus: new_extracted | mentions: 2
attorney,att|bruce.rogow.bruce-rogow.2|russ.briggs.fibich-garth-hampton-leebron.1,distinct,high,llm-batch,"names: Russ Briggs | firm(s): Fibich, Hampton, Leebron & Garth | MDLs: 1909 | corpus: new_extracted | mentions: 1","names: Bruce S. Rogow | firm(s): Bruce S. Rogow, P.A. | MDLs: 2036 | corpus: old_extracted | mentions: 2"
attorney,att|jane.conroy.conroy-hanley.1|jayne.conroy.al-bierstein-conroy-et-fisher-hanly-hayes-sheridan-simmons.29,same,high,llm-batch,"names: Jayne Conroy | firm(s): Simmons Hanly Conroy; Hanly, Conroy, Bierstein, Sheridan, Fisher & Hayes LLP; Hanly Conroy Bierstein Sheridan Fisher & Hayes LLP ",names: Jane Conroy | firm(s): Hanley Conroy | MDLs: 2197 | corpus: old_extracted | mentions: 1
attorney,att|tor.hoerman.hoerman-tor.4|tor.hoermann.cooper-simmons.1,same,high,llm-web,names: Tor Hoermann | firm(s): Simmons Cooper LLC | MDLs: 1909 | corpus: new_extracted | mentions: 1,"names: Tor Hoerman | firm(s): TOR HOERMAN LAW, LLC | MDLs: 2385, 2452 | corpus: new_extracted/old_extracted | mentions: 4"
attorney,att|james.cecchi.agnello-bain-brody-byrne-carella-cecchi-gilfillan-olstein-st.71|james.ceechi.agnello-brody-byrne-carella-cecchi-olstein.1,same,high,llm-web,"names: James E. Cecchi, James Cecchi, James E Cecchi | firm(s): Carella, Byrne, Cecchi, Olstein, Brody, & Agnello, PC; CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & ","names: James E. Ceechi | firm(s): CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & AGNELLO, P.C. | MDLs: 2904 | corpus: new_extracted | mentions: 1"
attorney,att|james.cecchi.agnello-bain-brody-byrne-carella-cecchi-gilfillan-olstein-st.71|james.checchi..1,same,high,llm-web,"names: James E. Cecchi, James Cecchi, James E Cecchi | firm(s): Carella, Byrne, Cecchi, Olstein, Brody, & Agnello, PC; CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & ",names: James E. Checchi | firm(s): (no firm recorded) | MDLs: 3055 | corpus: new_extracted | mentions: 1
attorney,att|james.ceechi.agnello-brody-byrne-carella-cecchi-olstein.1|james.checchi..1,same,high,llm-web,"names: James E. Ceechi | firm(s): CARELLA, BYRNE, CECCHI, OLSTEIN, BRODY & AGNELLO, P.C. | MDLs: 2904 | corpus: new_extracted | mentions: 1",names: James E. Checchi | firm(s): (no firm recorded) | MDLs: 3055 | corpus: new_extracted | mentions: 1
attorney,att|stephen.maher.maher.1|steven.maher.maher.3,same,high,llm-batch,"names: Steven Maher, Steven R. Maher | firm(s): THE MAHER LAW FIRM | MDLs: 1935, 2100 | corpus: new_extracted | mentions: 3",names: Stephen Maher | firm(s): Maher Law Firm | MDLs: 1938 | corpus: new_extracted | mentions: 1
attorney,att|stephen.murray.murray.2|steven.maher.maher.3,distinct,high,llm-batch,"names: Steven Maher, Steven R. Maher | firm(s): THE MAHER LAW FIRM | MDLs: 1935, 2100 | corpus: new_extracted | mentions: 3","names: Stephen B. Murray, Stephen B. Murray, Jr. [suffix jr] | firm(s): Murray Law Firm; MURRAY LAW FIRM | MDLs: 2299, 2452 | corpus: new_extracted/old_extracte"
attorney,att|stephen.maher.maher.1|stephen.murray.murray.2,distinct,high,llm-batch,names: Stephen Maher | firm(s): Maher Law Firm | MDLs: 1938 | corpus: new_extracted | mentions: 1,"names: Stephen B. Murray, Stephen B. Murray, Jr. [suffix jr] | firm(s): Murray Law Firm; MURRAY LAW FIRM | MDLs: 2299, 2452 | corpus: new_extracted/old_extracte"
attorney,att|steve.shadowen.aronchick-hangley-pudlin-segal.1|steve.shadowen.hillard-hilliard-shadowen.7,same,high,llm-batch,names: Steve D. Shadowen | firm(s): HANGLEY ARONCHICK SEGAL & PUDLIN | MDLs: 1935 | corpus: new_extracted | mentions: 1,"names: Steve D. Shadowen | firm(s): HILLIARD & SHADOWEN LLC; Hilliard & Shadowen LLC; HILLIARD & SHADOWEN LLP | MDLs: 2409, 2445, 2472, 2516, 2878 | corpus: new"
attorney,att|scott.love.clark-hutson-love.1|scott.love.fleming.4,same,medium,llm-batch,"names: Scott Love, Scott A. Love | firm(s): Fleming & Associates, LLP; Fleming & Associates, L.L.P. | MDLs: 1928 | corpus: new_extracted | mentions: 4",names: Scott Love | firm(s): CLARK LOVE & HUTSON | MDLs: 2187 | corpus: old_extracted | mentions: 1
attorney,att|stephen.morrissey.godfrey-susman.1|steven.marks.orseck-podhurst.2,distinct,high,llm-batch,names: Stephen Morrissey | firm(s): Susman Godfrey LLP | MDLs: 1957 | corpus: new_extracted | mentions: 1,"names: Steven C. Marks, Steven Marks | firm(s): Podhurst Orseck, P.A. | MDLs: 2323, 2626 | corpus: old_extracted | mentions: 2"
attorney,att|michael.quirk.berezofsky-cuker-williams.1|michael.quirk.motley-rice.1,same,medium,llm-batch,names: Michael J. Quirk | firm(s): WILLIAMS CUKER BEREZOFSKY | MDLs: 1955 | corpus: new_extracted | mentions: 1,"names: Michael J. Quirk | firm(s): MOTLEY RICE, LLC | MDLs: 2709 | corpus: old_extracted | mentions: 1"
attorney,att|andy.alonso.alonso-parker-waichman.2|andy.alonzo.parker-wachman.3,same,high,llm-web,names: Andy Alonzo | firm(s): Parker & Wachman | MDLs: 1953 | corpus: new_extracted | mentions: 3,"names: Andy Alonso | firm(s): Parker Waichman Alonso LLP; Parker Waichman & Alonso, LLP | MDLs: 2051, 2068 | corpus: new_extracted | mentions: 2"
attorney,att|daniel.lapinski.goldman-spitzer-wilentz.5|daniel.lapinsky.goldman-spitzer-wilentz.1,same,high,llm-web,"names: Daniel Lapinski, Daniel R. Lapinski | firm(s): Wilentz, Goldman & Spitzer; Wilentz, Goldman and Spitzer; WILENTZ, GOLDMAN & SPITZER, P.A. | MDLs: 1953, 2","names: Daniel R. Lapinsky | firm(s): Wilentz, Goldman & Spitzer, P.A. | MDLs: 2789 | corpus: old_extracted | mentions: 1"
attorney,att|j.meyer..1|j.moore.moore-spiro.1,distinct,high,llm-batch,names: J. Mark Moore | firm(s): Spiro Moore LLP | MDLs: 1980 | corpus: new_extracted | mentions: 1,names: J. Andrew Meyer | firm(s): (no firm recorded) | MDLs: 2513 | corpus: new_extracted | mentions: 1
attorney,att|chris.hellums.bradley-dutton-hellums-kirby-mann-pittman.16|chris.hollinger.myers-omelveny.1,distinct,high,llm-batch,"names: Chris Hellums, Chris T. Hellums | firm(s): Pittman, Dutton & Hellums, P.C.; Pittman, Dutton, Kirby & Hellums; Pittman, Dutton, Kirby & Hellums, P.C. | MD",names: Chris A. Hollinger | firm(s): OMelveny & Myers LLP | MDLs: 1700 | corpus: old_extracted | mentions: 1
attorney,att|brian.clobes..1|bryan.clobes.cafferty-clobes-faucher-il-meriwether-sprengel.6,same,high,llm-batch,"names: Bryan Clobes, Bryan L. Clobes | firm(s): Cafferty Faucher LLP; Cafferty Clobes Meriwether & Sprengel LLP; Cafferty Clobes Meriwether & Sprengel LLP-IL | ",names: Brian Clobes | firm(s): (no firm recorded) | MDLs: 1960 | corpus: new_extracted | mentions: 1
attorney,att|salvador.antonettistutts.borges-oneill.1|salvador.antonettizequira..1,distinct,high,llm-web,names: Salvador Antonetti-Zequira | firm(s): (no firm recorded) | MDLs: 1960 | corpus: new_extracted | mentions: 1,names: Salvador J. Antonetti-Stutts | firm(s): ONEILL & BORGES | MDLs: 1960 | corpus: new_extracted | mentions: 1
attorney,att|stephen.asher..1|steven.asher.asher-kitchenoff-weinstein.2,same,medium,llm-batch,names: Stephen A. Asher | firm(s): (no firm recorded) | MDLs: 1960 | corpus: new_extracted | mentions: 1,"names: Steven Asher, Steven A. Asher | firm(s): Weinstein Kitchenoff & Asher, LLC; Weinstein Kitchenoff & Asher LLC | MDLs: 2002, 2420 | corpus: old_extracted |"
attorney,att|george.stewart.reed-smith.2|stuart.gross..1,distinct,high,llm-batch,names: Stuart G. Gross | firm(s): (no firm recorded) | MDLs: 1960 | corpus: new_extracted | mentions: 1,"names: George L. Stewart | firm(s): Reed Smith, LLP | MDLs: 2969 | corpus: new_extracted | mentions: 2"
attorney,att|keith.dubanevich.barer-garvey-schubert.1|keith.dubanevich.berne-lokting-shlachter-stoll.3,same,high,llm-batch,names: Keith S. Dubanevich | firm(s): GARVEY SCHUBERT & BARER | MDLs: 1960 | corpus: new_extracted | mentions: 1,names: Keith S. Dubanevich | firm(s): Stoll Stoll Berne Lokting & Shlachter P.C.; STOLL STOLL BERNE LOKTING & SHLACHTER P.C. | MDLs: 2633 | corpus: old_extracte
attorney,att|douglass.kreis.aylstock-kreis-overholtz-witkin.11|douglass.kreiss.aylstock-kreiss-witkin.1,same,high,llm-web,"names: Douglass Kreiss | firm(s): Aylstock, Witkin, Kreiss | MDLs: 2004 | corpus: new_extracted | mentions: 1","names: Douglass A. Kreis, Douglass A Kreis, Douglass Kreis | firm(s): Aylstock, Witkin, Kreis & Overholtz; Aylstock, Witkin, Kreis & Overholtz PLLC; Aylstock, W"
attorney,att|douglas.kreis..1|douglass.kreiss.aylstock-kreiss-witkin.1,same,high,llm-web,"names: Douglass Kreiss | firm(s): Aylstock, Witkin, Kreiss | MDLs: 2004 | corpus: new_extracted | mentions: 1",names: Douglas Kreis | firm(s): (no firm recorded) | MDLs: 3140 | corpus: new_extracted | mentions: 1
attorney,att|douglass.kreiss.aylstock-kreiss-witkin.1|dougless.kreis.aylstock-kreis-overholtz-witkin.1,same,high,llm-web,"names: Douglass Kreiss | firm(s): Aylstock, Witkin, Kreiss | MDLs: 2004 | corpus: new_extracted | mentions: 1","names: Dougless A. Kreis | firm(s): Aylstock, Witkin, Kreis & Overholtz | MDLs: 2391 | corpus: old_extracted | mentions: 1"
