MDL,Attorney,Gold_Roles,LLM_Roles,Flag,LLM_Added,LLM_Missed
1720,None None,,ClassCounsel; Communications; LeadCounsel,llm_only_not_in_gold,ClassCounsel; Communications; LeadCounsel,
1738,None None,,Communications; LeadCounsel,llm_only_not_in_gold,Communications; LeadCounsel,
1836,Arthur Sherman,Bellwether,Trial,disjoint,Trial,Bellwether
1836,James Gray,LeadCounsel,LeadCounsel,agree,,
1836,Joseph Price,Communications,Communications,agree,,
1836,Michael Brown,LeadCounsel,LeadCounsel,agree,,
1836,Peter J. Goss,,Communications,llm_only_not_in_gold,Communications,
1836,Peter Gross,Communications,,gold_only_missed_by_llm,,Communications
1836,Philip Pfaffly,Bellwether,Trial,disjoint,Trial,Bellwether
1836,Scott Smith,Communications,Communications,agree,,
1836,Tara Sutton,Communications; LeadCounsel,Communications; LeadCounsel; Trial,llm_added_role,Trial,
1836,Tracy Van Steenburgh,Communications,Communications,agree,,
1869,None None,,ClassCounsel; LeadCounsel; Management,llm_only_not_in_gold,ClassCounsel; LeadCounsel; Management,
1869,Michael Hausfeld,,LeadCounsel,llm_only_not_in_gold,LeadCounsel,
1871,None None,,Communications,llm_only_not_in_gold,Communications,
1871,Andrew Chirls,Fees,,gold_only_missed_by_llm,,Fees
1871,Benedict Morelli,Management; SettlementAdministration,Management,llm_missed_role,,SettlementAdministration
1871,Bill Robins,Fees; Management,Fees; Management,agree,,
1871,Brian Aylstock,Management,,gold_only_missed_by_llm,,Management
1871,"Brian J. McCormick, Jr.",,Management,llm_only_not_in_gold,Management,
1871,"Brian McCormick, Jr.",Management,,gold_only_missed_by_llm,,Management
1871,Bryan Aylstock,Fees; Management,Fees; Management,agree,,
1871,Corr Stephen,Communications,,gold_only_missed_by_llm,,Communications
1871,David Matthews,Management,Management,agree,,
1871,Diane Nast,,Coordination,llm_only_not_in_gold,Coordination,
1871,Dianne Nast,Coordination; Fees; Management,Coordination; Fees; Management,agree,,
1871,Fred Thompson,Management,Management,agree,,
1871,J. Paul Sizemore,,Management,llm_only_not_in_gold,Management,
1871,James Shaughnessy,Management,Management,agree,,
1871,Joseph Zonies,Fees; Management,Fees; Management,agree,,
1871,Karen Menzies,Management,Management,agree,,
1871,Marc Grossman,Management,Management,agree,,
1871,Mark Lanier,Management,,gold_only_missed_by_llm,,Management
1871,Michael Miller,Management,Management,agree,,
1871,"Paul Kiesel,",Discovery; Fees; Management,Management,llm_missed_role,,Discovery; Fees
1871,Rachel Abrams,Management,Management,agree,,
1871,Samuel Fisher,Management,Management,agree,,
1871,Samuel Lanham,Management,Management,agree,,
1871,Shannon Medley,Management,Management,agree,,
1871,Sizemore J. Paul,Management,,gold_only_missed_by_llm,,Management
1871,Stephen Corr,Communications; Fees; Management,Communications; Fees; Management,agree,,
1871,Thomas Cartmell,Fees; Management,Fees; Management,agree,,
1871,Thomas Mellon,Communications; Management,Communications; Management,agree,,
1871,Tim Goss,SettlementAdministration,,gold_only_missed_by_llm,,SettlementAdministration
1871,Tom Mellon,,Communications,llm_only_not_in_gold,Communications,
1871,Tracy Rezvani,ClassCounsel; Management,Management,llm_missed_role,,ClassCounsel
1871,Turner Branch,Management,Management,agree,,
1871,Vance Andrus,Fees; Management,Fees; Management,agree,,
1871,W. Mark Lanier,,Management,llm_only_not_in_gold,Management,
1880,Steven J. Routh,,Communications,llm_only_not_in_gold,Communications,
1913,None None,,ClassCounsel,llm_only_not_in_gold,ClassCounsel,
1916,Arthur Leahy,LeadCounsel,LeadCounsel,agree,,
1916,Stuart Cohen,LeadCounsel,LeadCounsel,agree,,
1916,Terrance Collingsworth,LeadCounsel,,gold_only_missed_by_llm,,LeadCounsel
1916,Terrence Collingsworth,,LeadCounsel,llm_only_not_in_gold,LeadCounsel,
1917,None None,,ClassCounsel; LeadCounsel,llm_only_not_in_gold,ClassCounsel; LeadCounsel,
1917,Alioto Mario,ClassCounsel; LeadCounsel; Settlement,,gold_only_missed_by_llm,,ClassCounsel; LeadCounsel; Settlement
1917,Bonsignore Robert,ClassCounsel; LeadCounsel,,gold_only_missed_by_llm,,ClassCounsel; LeadCounsel
1917,Cooper Josef,Coordination; LeadCounsel; Settlement,,gold_only_missed_by_llm,,Coordination; LeadCounsel; Settlement
1917,Francis Scarpulla,Communications; LeadCounsel,Communications,llm_missed_role,,LeadCounsel
1917,Guido Saveri,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
1917,Mario N. Alioto,,ClassCounsel; LeadCounsel,llm_only_not_in_gold,ClassCounsel; LeadCounsel,
1917,Scarpulla Francis,Coordination; LeadCounsel; Settlement,,gold_only_missed_by_llm,,Coordination; LeadCounsel; Settlement
1917,Theresa Moore,LeadCounsel,,gold_only_missed_by_llm,,LeadCounsel
1964,Alejandro Alvarez,Management,Management,agree,,
1964,Andrew D’Arcy,Management,Management,agree,,
1964,Carmen Scott,Management,Management,agree,,
1964,Eric Roberson,Management,Management,agree,,
1964,Gregory McEwen,Management,Management,agree,,
1964,Hunter Shkolnik,LeadCounsel; Management; Settlement; SettlementAdministration,LeadCounsel; Management; Settlement,llm_missed_role,,SettlementAdministration
1964,John Kirtley,Management,Management,agree,,
1964,Jubal Hamil,Management,Management,agree,,
1964,Kristine Kraft,Communications; Management; Settlement; SettlementAdministration,Communications; LeadCounsel; Management; Settlement,partial_disagree,LeadCounsel,SettlementAdministration
1964,Mark Tate,Management,Management,agree,,
1964,Michael Johnson,Management,Management,agree,,
1964,Paul Rheingold,Communications; LeadCounsel,LeadCounsel; Management,partial_disagree,Management,Communications
1964,Rhett Klok,Management,Management,agree,,
1964,Richard Arsenault,Management,Management,agree,,
1964,Roger Denton,Management; Settlement; SettlementAdministration,Communications; LeadCounsel; Management; Settlement,partial_disagree,Communications; LeadCounsel,SettlementAdministration
1964,Steven Blau,LeadCounsel; Management,LeadCounsel; Management,agree,,
1964,Yvonne Flaherty,Management,Management,agree,,
2002,None None,,LeadCounsel,llm_only_not_in_gold,LeadCounsel,
2002,Jan Levine,Communications,Communications,agree,,
2002,Krishna Narine,Communications,Communications,agree,,
2002,Michael Hausfeld,LeadCounsel,LeadCounsel,agree,,
2002,Robin Sumner,,Communications,llm_only_not_in_gold,Communications,
2002,Stanley Bernstein,LeadCounsel,LeadCounsel,agree,,
2002,Stephen Susman,LeadCounsel,LeadCounsel,agree,,
2002,Steven Asher,Communications; LeadCounsel,Communications; LeadCounsel,agree,,
2009,None None,,Communications; LeadCounsel,llm_only_not_in_gold,Communications; LeadCounsel,
2020,None None,,Management,llm_only_not_in_gold,Management,
2020,Andrew Friedman,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Christopher Burke,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Christopher Ridout,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,D. Hufford,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,David Scott,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Diogenes Kekatos,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Edith Kallas,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,H. Hoffman,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,James Cecchi,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Joe Whatley,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Joseph Guglielmo,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Kevin Roddy,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Raymond Boucher,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Robert Axelrod,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2020,Stephen Weiss,ClassCounsel; Settlement,ClassCounsel,llm_missed_role,,Settlement
2034,None None,,Communications; LeadCounsel; Management,llm_only_not_in_gold,Communications; LeadCounsel; Management,
2034,Dianne Nast,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2034,Kenneth Wexler,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2034,Stephen Corr,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2036,None None,,ClassCounsel; LeadCounsel; Management,llm_only_not_in_gold,ClassCounsel; LeadCounsel; Management,
2036,Aaron Podhurst,ClassCounsel; LeadCounsel; SettlementAdministration,LeadCounsel,llm_missed_role,,ClassCounsel; SettlementAdministration
2036,Andrew Friedman,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2036,Barbara  Olk,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Barry Davidson,Communications,Communications,agree,,
2036,Bonny Sweeney,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Bruce Rogow,ClassCounsel; LeadCounsel; SettlementAdministration,LeadCounsel; Management,partial_disagree,Management,ClassCounsel; SettlementAdministration
2036,Bruce Steckler,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Burton  Finkelstein,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Cory Fein,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Darren Kaplan,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,David Lichter,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,David Pastor,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,David Stellings,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Edward Webb,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Elaine Ryan,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Franklin Lemond,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Hassan Zavareei,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Jeff  Geraci,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Jeffrey Ostrow,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Jeremy  Alters,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Joseph Sauder,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Ken  Grunfeld,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Mazin Sbaiti,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Michael Sobol,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Patricia Syverson,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2036,Patrick Sheehan,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Peter Prieto,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Rachel Jensen,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2036,Richard  Golomb,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Richard McCune,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Robert Gilbert,ClassCounsel; SettlementAdministration,Coordination,disjoint,Coordination,ClassCounsel; SettlementAdministration
2036,Ruben Honik,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Russell Budd,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Scott Gilchrist,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Sean Matt,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Stuart Grossman,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Ted Trief,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2036,Todd Carpenter,ClassCounsel,,gold_only_missed_by_llm,,ClassCounsel
2036,William  Hearon,ClassCounsel; SettlementAdministration,,gold_only_missed_by_llm,,ClassCounsel; SettlementAdministration
2047,None None,,ClassCounsel,llm_only_not_in_gold,ClassCounsel,
2047,Adam Linkhorst,ClassCounsel; SettlementAdministration,ClassCounsel,llm_missed_role,,SettlementAdministration
2047,Adrianne Baumgartner,Management,Management,agree,,
2047,Alan Yacoubian,Management,Management,agree,,
2047,Allison Grant,Fees,,gold_only_missed_by_llm,,Fees
2047,Amanda Vonderhaar,Management,Management,agree,,
2047,Arnold Levin,ClassCounsel; LeadCounsel; Management; SettlementAdministration,ClassCounsel; Fees; LeadCounsel; Management; SettlementAdministration,llm_added_role,Fees,
2047,Ben Gordon,Management,Management,agree,,
2047,Bruce Steckler,Management; SettlementAdministration,Management,llm_missed_role,,SettlementAdministration
2047,Charles Chassaignac,Management,Management,agree,,
2047,Christopher Seeger,Management,Fees; Management,llm_added_role,Fees,
2047,Daniel Becnel,Management,Management,agree,,
2047,Daniel Bryson,Management,ClassCounsel; Management,llm_added_role,ClassCounsel,
2047,Dawn Barrios,Coordination; Management; SettlementAdministration,Coordination; Fees; Management; SettlementAdministration,llm_added_role,Fees,
2047,Donald Hayden,Coordination,Coordination,agree,,
2047,Dorothy Wimberly,SettlementAdministration,,gold_only_missed_by_llm,,SettlementAdministration
2047,Ervin Gonzalez,Coordination; Management,Coordination; Management,agree,,
2047,Gary Mason,ClassCounsel; SettlementAdministration,ClassCounsel,llm_missed_role,,SettlementAdministration
2047,Gary Russo,Management,Management,agree,,
2047,Gerald Meunier,Management; SettlementAdministration,Fees; Management,partial_disagree,Fees,SettlementAdministration
2047,Gregory Weiss,ClassCounsel; SettlementAdministration,ClassCounsel,llm_missed_role,,SettlementAdministration
2047,H. Pipes,Management,Management,agree,,
2047,Harry Rosenberg,Communications,Communications,agree,,
2047,Hilarie Bass,Coordination; SettlementAdministration,Coordination,llm_missed_role,,SettlementAdministration
2047,Hugh Lambert,Management,Management,agree,,
2047,James Reeves,Coordination; Management,Coordination; Management,agree,,
2047,Jan Atlas,Coordination,Coordination,agree,,
2047,Jay Sever,Management,Management,agree,,
2047,Jeffrey Backman,Coordination,Coordination,agree,,
2047,Jennifer McNamara,Management,Management,agree,,
2047,Jeremy Alters,Coordination,Coordination,agree,,
2047,Jerrold Parker,Management,Management,agree,,
2047,Jerry Saporito,Management,Management,agree,,
2047,Joe Cyr,,LeadCounsel; Management,llm_only_not_in_gold,LeadCounsel; Management,
2047,Joel Rhine,ClassCounsel; SettlementAdministration,ClassCounsel,llm_missed_role,,SettlementAdministration
2047,John Culotta,Management,Management,agree,,
2047,Judy Barrasso,LeadCounsel; Management,LeadCounsel; Management,agree,,
2047,Kerry Miller,Communications,Communications,agree,,
2047,Lenny Davis,Fees,,gold_only_missed_by_llm,,Fees
2047,Michael J. Ryan,,Fees,llm_only_not_in_gold,Fees,
2047,Minor Pipes,SettlementAdministration,,gold_only_missed_by_llm,,SettlementAdministration
2047,Neal Favret,Management,Management,agree,,
2047,Patrick Montoya,Fees,,gold_only_missed_by_llm,,Fees
2047,Ralph Hubbard,Management,LeadCounsel; Management,llm_added_role,LeadCounsel,
2047,Randy Evans,Management,Management,agree,,
2047,Richard Duplantier,Coordination; Management,Coordination; Management,agree,,
2047,Richard Lewis,SettlementAdministration,SettlementAdministration,agree,,
2047,Richard Oelsnar,Management,Management,agree,,
2047,Richard Serpe,Coordination; Management,Coordination; Fees; Management; SettlementAdministration,llm_added_role,Fees; SettlementAdministration,
2047,Richard C. Stanley,,LeadCounsel; Management,llm_only_not_in_gold,LeadCounsel; Management,
2047,Robert Darroch,Management,Management,agree,,
2047,Robert Fitzsimmons,LeadCounsel,LeadCounsel,agree,,
2047,Robert Josefsberg,Management,Management,agree,,
2047,Rodrigo Garcia,Management,Management,agree,,
2047,Russ Herman,ClassCounsel; Communications; Management; SettlementAdministration,ClassCounsel; Communications; Fees; Management; SettlementAdministration,llm_added_role,Fees,
2047,Sandra Duggan,Fees,,gold_only_missed_by_llm,,Fees
2047,Scott Weinstein,Coordination; Management,Coordination; Management,agree,,
2047,Seth A. Schmeeckle,,Management,llm_only_not_in_gold,Management,
2047,Skip Lambert,Fees,,gold_only_missed_by_llm,,Fees
2047,Stephen Berry,Management,Management,agree,,
2047,Stephen Marcellino,Management,Management,agree,,
2047,Steven Glickstein,SettlementAdministration,,gold_only_missed_by_llm,,SettlementAdministration
2047,Victor Diaz,Management,Management,agree,,
2047,Virginia Y. Trainor,,Management,llm_only_not_in_gold,Management,
2067,Christopher Coffin,Management,Management,agree,,
2067,James Dugan,ClassCounsel; Management,ClassCounsel; Management,agree,,
2067,Stephen Swedlow,ClassCounsel,ClassCounsel,agree,,
2067,Thomas Sobol,LeadCounsel; Management,Management,llm_missed_role,,LeadCounsel
2084,Bruce Gerstein,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
2084,David Sorensen,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
2084,Eric Cramer,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
2084,John Radice,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
2084,Joseph Opper,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
2084,Kenneth Canfield,Communications,Communications,agree,,
2084,Linda Nussbaum,LeadCounsel,ClassCounsel; LeadCounsel,llm_added_role,ClassCounsel,
2151,Benjamin Bailey,Management,Management,agree,,
2151,Brian Panish,Management,Communications; Management,llm_added_role,Communications,
2151,Cari Dawson,LeadCounsel,LeadCounsel,agree,,
2151,Dawn Barrios,Coordination; Management,Communications; Coordination,partial_disagree,Communications,Management
2151,Donald Slavik,Management,Communications; Management,llm_added_role,Communications,
2151,Elizabeth Cabraser,Discovery; Fees; LeadCounsel,Communications; Discovery; LeadCounsel; Management,partial_disagree,Communications; Management,Fees
2151,Eric Snyder,Management,Communications,disjoint,Communications,Management
2151,Frank Pitre,Discovery; LeadCounsel,Discovery; LeadCounsel; Management,llm_added_role,Management,
2151,Frank M. Pitre,LeadCounsel,,gold_only_missed_by_llm,,LeadCounsel
2151,Gretchen Nelson,Coordination,Coordination,agree,,
2151,Hunter Shkolnik,Management,Communications; Management,llm_added_role,Communications,
2151,Jayne Conroy,Management,Management,agree,,
2151,Jerome Ringler,Management,Management,agree,,
2151,Joel Smith,LeadCounsel,Communications; LeadCounsel,llm_added_role,Communications,
2151,Lewis Eidson,Management,Communications; Management,llm_added_role,Communications,
2151,Lisa Gilford,Coordination; LeadCounsel,Coordination; LeadCounsel,agree,,
2151,Marc Seltzer,Discovery; LeadCounsel,Discovery; LeadCounsel; Management,llm_added_role,Management,
2151,Mark Robinson,Discovery; Fees; LeadCounsel,Communications; Discovery; LeadCounsel; Management,partial_disagree,Communications; Management,Fees
2151,Michael Kelly,Management,Management,agree,,
2151,Monica Kelley,ClassCounsel; Motions,LeadCounsel,disjoint,LeadCounsel,ClassCounsel; Motions
2151,Monica R. Kelly,,Motions,llm_only_not_in_gold,Motions,
2151,Richard Arsenault,Management,Management,agree,,
2151,Richard McCune,Management,Communications; Management,llm_added_role,Communications,
2151,S. Scott West,,Communications,llm_only_not_in_gold,Communications,
2151,S. Scott West,Management,,gold_only_missed_by_llm,,Management
2151,Stanley Chesley,Management,Management,agree,,
2151,Steve Berman,Discovery; LeadCounsel,,gold_only_missed_by_llm,,Discovery; LeadCounsel
2151,Steven Berman,LeadCounsel,Discovery; LeadCounsel; Management,llm_added_role,Discovery; Management,
2151,Vince Galvin,Coordination; LeadCounsel,Communications; Coordination; LeadCounsel,llm_added_role,Communications,
2151,W. Lanier,Management,Communications; Management,llm_added_role,Communications,
2151,W. Miles,Management,Communications; Management,llm_added_role,Communications,
2151,W.B. Markovits,,Management,llm_only_not_in_gold,Management,
2151,W. Daniel Miles,Management,,gold_only_missed_by_llm,,Management
2151,Wylie Aitken,Coordination,Coordination,agree,,
2153,Jonathan Waller,LeadCounsel; Management,Management,llm_missed_role,,LeadCounsel
2153,Kirk Tresemer,Communications; LeadCounsel,ClassCounsel; Communications; LeadCounsel,llm_added_role,ClassCounsel,
2153,Matthew Geragos,Management,Management,agree,,
2153,Peter McNulty,Communications; LeadCounsel,ClassCounsel; Communications; LeadCounsel,llm_added_role,ClassCounsel,
2153,Scott Devereaux,LeadCounsel; Management,Management,llm_missed_role,,LeadCounsel
2158,Andrew Campbell,Communications,Communications,agree,,
2158,Christopher Seeger,Communications,Communications,agree,,
2158,Edward Fanning,,Communications,llm_only_not_in_gold,Communications,
2158,James Cecchi,Communications,Communications,agree,,
2158,John Schlafer,Communications,Communications,agree,,
2158,John Tanner,Communications,Communications,agree,,
2158,Wendy Fleishman,LeadCounsel,Communications,disjoint,Communications,LeadCounsel
2158,Zane Riester,,Communications,llm_only_not_in_gold,Communications,
2179,Alan Weigel,Management,Management,agree,,
2179,Alphonso Michael Espy,,Management,llm_only_not_in_gold,Management,
2179,Alphonso Michael Epsy,Management,,gold_only_missed_by_llm,,Management
2179,Alphonso Michael Espy,Management,,gold_only_missed_by_llm,,Management
2179,Arnold Levin,,Fees,llm_only_not_in_gold,Fees,
2179,Brian Barr,Management,Fees; Management,llm_added_role,Fees,
2179,Calvin Fayard,Management,Fees; Management,llm_added_role,Fees,
2179,Conrad Williams,Management,Management,agree,,
2179,Daniel Goforth,Management,Management,agree,,
2179,David Beck,Communications; Management,Communications; Management,agree,,
2179,Dawn M. Barrios,,Fees,llm_only_not_in_gold,Fees,
2179,Deborah Kuchler,Communications; Management,Communications; Management,agree,,
