Name_A,Name_B,Level,Reason
Matt Moreland,Matthew B. Moreland,strong,exact surname + first nick
Thomas J.H. Brill,Tom Brill,strong,exact surname + first nick
Robert Hilliard,Robert Hillard,context,fuzzy surname + first exact (shared firm/MDL)
Michael Papantonio,Mike Papantonio,strong,exact surname + first nick
Jonathan Sedgh,Jonathan Sedge,context,fuzzy surname + first exact (shared firm/MDL)
John Fiske,John Fisk,context,fuzzy surname + first exact (shared firm/MDL)
Steven Bloch,Steve Bloch,strong,exact surname + first nick
Eric Kennedy,R. Eric Kennedy,context,exact surname + first subset (shared firm/MDL)
Jeff Bowersox,Jeffrey Bowersox,strong,exact surname + first nick
Frank Pitre,Frank M. Pitre,context,exact surname + first subset (shared firm/MDL)
Jim Reeves,James Reeves,strong,exact surname + first nick
Mark Seltzer,Marc M. Seltzer,context,exact surname + first edit1 (shared firm/MDL)
Matthew Schultz,Matt Schultz,strong,exact surname + first nick
Frederick Longer,Fred Longer,strong,exact surname + first nick
Michael Critchley,Michael Critchiey Sr.,context,fuzzy surname + first exact (shared firm/MDL)
Jeff Gibson,Jeffrey Gibson,strong,exact surname + first nick
Steven Silverman,Steve Silverman,strong,exact surname + first nick
Lawrence Gornick,Larry Gornick,strong,exact surname + first nick
Pete Kaufman,Peter Kaufman,strong,exact surname + first nick
Shelly Kaufman,Shelley Kaufman,context,exact surname + first edit1 (shared firm/MDL)
Ron Goldman,Ronald L.M. Goldman,strong,exact surname + first nick
Marlo Fischer,Marlo Fisher,context,fuzzy surname + first exact (shared firm/MDL)
Steve Babin,Steven Babin,strong,exact surname + first nick
E. Michelle Drake,Michelle Drake,context,exact surname + first subset (shared firm/MDL)
Michele Drake,Michele Dirke,context,fuzzy surname + first exact (shared firm/MDL)
Gregory Hopper,Greg Hopper,strong,exact surname + first nick
Phillip A. Wittmann,Phil Wittmann,strong,exact surname + first nick
Christopher Tisi,Chris Tisi,strong,exact surname + first nick
Christopher Ridout,Cristopher Ridout,context,exact surname + first edit1 (shared firm/MDL)
Tobias Millrood,Tobias Milrood,context,fuzzy surname + first exact (shared firm/MDL)
Erick Rosemond,G. Erick Rosemond,context,exact surname + first subset (shared firm/MDL)
Matt Edling,Matthew Edling,strong,exact surname + first nick
Rich Hood,Richard J. Hood,strong,exact surname + first nick
Richard M. Paul III,Rick Paul,strong,exact surname + first nick
Steven Rotman,Steve Rotman,strong,exact surname + first nick
Karen H. Riebel,Karen Ribel,context,fuzzy surname + first exact (shared firm/MDL)
Steven Skikos,Steve Skikos,strong,exact surname + first nick
Timothy O'Brien,Tim O'Brien,strong,exact surname + first nick
Tom Loeser,Thomas Loeser,strong,exact surname + first nick
José M. Rosas,José M. Rojas,context,fuzzy surname + first exact (shared firm/MDL)
José M. Rojas,Jose Rojas,context,exact surname + first edit1 (shared firm/MDL)
Frederick Hovde,Fredrick Hovde,context,exact surname + first edit1 (shared firm/MDL)
Michael Weinkowitz,Mike Weinkowitz,strong,exact surname + first nick
S. Thomas Weinner,Thomas Wienner,context,fuzzy surname + first subset (shared firm/MDL)
"Michael
 Heaviside",Mike Heaviside,strong,exact surname + first nick
"Brian McCormick, Jr.",Brian J. McCormick,context,fuzzy surname + first exact (shared firm/MDL)
Philip Sechler,Phillip Sechler,strong,exact surname + first nick
Isaac Diel,Issac Diel,context,exact surname + first edit1 (shared firm/MDL)
Tom Bender,Thomas V. Bender,strong,exact surname + first nick
Stephen Susman,Steve Susman,strong,exact surname + first nick
Robert G. Germany,Bob Germany,strong,exact surname + first nick
Eric Quetglas,Eric M. Quetglas-Jordan,context,fuzzy surname + first exact (shared firm/MDL)
Jeff S. Westerman,Jeffrey Westerman,strong,exact surname + first nick
Theodore Babbitt,Ted Babbitt,strong,exact surname + first nick
Steve Grygiel,Stephen G. Grygiel,strong,exact surname + first nick
Steve Grygiel,Steven G. Grygiel,strong,exact surname + first nick
Stephen G. Grygiel,Steven G. Grygiel,strong,exact surname + first nick
Salvador Antonetti-Zequira,Salvador J. Antonetti-Stutts,context,fuzzy surname + first exact (shared firm/MDL)
Katie McElveen,Catherine H. McElveen,strong,exact surname + first nick
Theodore J. Leopold,Ted Leopold,strong,exact surname + first nick
Travis Griffith,Travis Griffth,context,fuzzy surname + first exact (shared firm/MDL)
Julia Merritt,Julia Merrit,context,fuzzy surname + first exact (shared firm/MDL)
Timothy Semenoro,Timothy Semenero,context,fuzzy surname + first exact (shared firm/MDL)
Steve Nathan,Steven M. Nathan,strong,exact surname + first nick
Nicholas Colella,Nicolas Colella,context,exact surname + first edit1 (shared firm/MDL)
Jenniffer Elwell,Jennifer Elwell,context,exact surname + first edit1 (shared firm/MDL)
Jennifer Elwell,Jenny Elwell,strong,exact surname + first nick
Bill Carmody,William Christopher Carmody,strong,exact surname + first nick
D. Nicole Guntner,D. Nicole Gunter,context,fuzzy surname + first exact (shared firm/MDL)
