Name_A,Firms_A,Name_B,Firms_B,Reason
Don Barrett,"Barrett Law Group; Barrett Law Group, P.A.",D. Dorian Britt,"Tate Law Group, LLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Marc Williams,,Marc A. Wallenstein,KOREIN TILLERY LLC,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Daniel Mason,"Furth Salem Mason & Li, LLP",Daniel J. Mogin,"The Mogin Law Firm P.C.; the Mogin Law Firm, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Richard McCune,"MCCUNE WRIGHT, LLP; MCCUNE WRIGHT LLP",R. Laurence Macon,AKIN GUMP STRAUSS HAUER & FELD LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Rhett McSweeney,"McSweeney/Langevin, LLC; McSweeney/Langevin",R. Laurence Macon,AKIN GUMP STRAUSS HAUER & FELD LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Randi McGinn,,R. Laurence Macon,AKIN GUMP STRAUSS HAUER & FELD LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Steven Bizar,,Stephen Basser,"Barrack, Rodos & Bacine; BARRACK, RODOS & BACINE",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
R. Richards,"AYLSTOCK, WITKIN, KREIS & OVERHOLTZ, PLLC",Robert Rikard,Whetstone Myers Perkins & Young,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Richards,Cohen Milstein; COHEN MILSTEIN SELLER & TOLL PLLC,Jeffrey C. Rickard,"Marsh, Rickard & Bryan, PC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Richards,Cohen Milstein; COHEN MILSTEIN SELLER & TOLL PLLC,Jason Richards,"Aylstock Witkin Kreis & Overholtz, PLLC",exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
J. Richards,Cohen Milstein; COHEN MILSTEIN SELLER & TOLL PLLC,Joyce Chambers Reichard,"Kelley & Ferraro, LLP; Kelley Ferraro LLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Gerard Stranch IV,"Branstetter, Stranch & Jennings, PLLC; BRANSTETTER, STRANCH & JENNINGS PLLC",John Strongman,"Shook, Hardy & Bacon",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Gerard Stranch IV,"Branstetter, Stranch & Jennings, PLLC; BRANSTETTER, STRANCH & JENNINGS PLLC",Jonathan Stern,Arnold & Porter Kaye Scholer LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
"A.
 Jones","Hawkins, Parnell, Thackston & Young, LLP",Alyson Jones,"BUTLER, SNOW, O'MARA, STEVENS & CANNADA, PLLC",exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Rhon Jones,,R. Andrew Jones,"Cory Watson, P.C.",exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Richard Cornfeld,,R. Seth Crompton,Holland Law Firm,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Bill Robins,HEARD ROBINS CLOUD & BLACK; HEARD ROBINS CLOUD LLP,William Robinson,Leclair Ryan; LeClair Ryan,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Dave Matthews,MATTHEWS & ASSOCIATES,D. Mathews,"Gori Julian & Associates, P.C.; Gori Julian & Associates",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Dave Matthews,MATTHEWS & ASSOCIATES,David Mathews,,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf low)
D. Mathews,"Gori Julian & Associates, P.C.; Gori Julian & Associates",David Mathews,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
D. Mathews,"Gori Julian & Associates, P.C.; Gori Julian & Associates",David Matthews,Matthews and Associates; Matthews & Associates,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
David Mathews,,David Matthews,Matthews and Associates; Matthews & Associates,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
Joe Saunders,SAUNDERS & WALKER,Joel S. Sanders,"Gibson, Dunn & Curtcher LLP",fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
James Gotz,Hausfeld LLP,J. Devlan Geddes,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Tom Cartmell,"WAGSTAFF & CARTMELL; Wagstaff & Cartmell, LP",Thomas R. Curtin,"Graham Curtin, P.A.; MCELROY, DEUTSCH, MULVANEY & CARPENTER, LLP",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Thomas Cartmell,"Wagstaff & Cartmell, LLP; Wagstaff & Cartmell LLP",Thomas R. Curtin,"Graham Curtin, P.A.; MCELROY, DEUTSCH, MULVANEY & CARPENTER, LLP",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
David  Stellings,"LIEFF, CABRASER, HEIMANN & BERNSTEIN, LLP; Lieff Cabraser Heimann & Bernstein, LLP",David Steelman,"Steelman, Gaunt & Horsefield",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Joel Rhine,"Rhine Law Firm, P.C.,; Rhine Law Firm PC",J. Rome,Williams & Connolly LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Russell Budd,"BARON & BUDD, P.C.; Baron and Budd P.C.",Russel H. Beatie,BEATIE AND OSBORN LLP; Beatie & Osborn LLP,fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
Christopher Hellums,,Chris Hollinger,O’Melveny & Myers LLP,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Christopher Hellums,,Cristopher Hellmich,Patton Boggs LLP,fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
Chris Hellums,"Pittman, Dutton & Hellums; Pittman, Dutton & Hellums, P.C.",Chris Hollinger,O’Melveny & Myers LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
David Boies,"Boies Schiller and Flexner; Boies, Schiller & Flexner LLP",David Beck,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
D. Hufford,,Dirk Hubbard,"Horn Aylward & Bandy, LLC; HORN AYLWARD & BANDY, LLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Stephen A. Corr,"Mellon, Webster & Shelly; Stark & Stark, P.C.",Steven F. Cherry,Wilmer Cutler Pickering Hale and Dorr LLP,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Steven F. Cherry,Wilmer Cutler Pickering Hale and Dorr LLP,Stephen A.Cor,"MELLON, WEBSTER & SHELLY",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
D. Blankinship,,Garrett Blanchfield,"Reinhardt, Wendorf, & Blanchfield; Reinhardt Wendorf & Blanchfield",fuzzy surname + first subset (no shared firm/MDL) | LLM: distinct (conf high)
Hamish Hume,,H. Blair Hahn,"Richardson, Patrick, Westbrook & Brickman, LLC; RICHARDSON, PATRICK, WESTBROOK, & BRICKMAN, LLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Frank Woodson,"Beasley Allen Crow Methvin Portis & Miles, P.C.; Beasley, Allen, Crow, Methvin, Portis & Miles, PC",Frank Watson,"Watson Burns, PLLC",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
J. Bachus,"Bachus & Schanker, LLC; Bachus & Shanker, LLC",Peter J. Bezek,Foley Bezek Behle & Curtis,fuzzy surname + first subset (no shared firm/MDL) | LLM: distinct (conf high)
William Kershaw,"Kershaw, Cutter & Ratinoff; Kershaw, Cook & Talley, PC",Adam Krause,"KRAUSE AND KINSMAN, LLC",fuzzy surname + first subset (no shared firm/MDL) | LLM: distinct (conf high)
J. Daniel,"Beggs & Lane, RLLP",Jeff Daniel,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Sara Schram,"Blasingame, Burch, Garrard & Ashley, PC",Sara Schramm,Hammers Law Firm; Hammers Law,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
James M. Evangelista,"Harris Penn Lowry, LLP; Harris Penn Lowry LLP",James Eubank,"Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Steven Block,"Lane, Powell, P.C.",Steven Bloch,Silver Golub & Teitell LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf medium)
Steven Block,"Lane, Powell, P.C.",Steve Bloch,Silver Golub & Teitell LLP,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf medium)
Kit Pearson,,Kit A. Pierson,"Cohen Milstein Sellers & Toll, PLLC; Cohen Milstein Sellers & Toll PLLC",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
D. Michael Campbell,Campbell Law,Douglas Campbell,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Mark Seltzer,"Susman Godfrey, L.L.P.",Mark C. Schultz,"COHEN, PLACITELLA & ROTH",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Marc M. Seltzer,Susman Godfrey L.L.P; Susman Godfrey L.L.P.,Mark C. Schultz,"COHEN, PLACITELLA & ROTH",fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
Peter Mougey,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A.; Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, PA",Peter A. Muhic,Barroway Topaz Kessler Meltzer & Check LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
David O'Mara,"The O’Mara Law Firm, P.C.",David G. Omer,"OMER LAW FIRM, PLLC",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
J. Michael Vaughan,"Walters Bender Strohbehn & Vaughan, P.C.",John Vecchione,"THE LAW FIRM OF BART T. VALAD, PLLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Michael Vaughan,"Walters Bender Strohbehn & Vaughan, P.C.",Jay Vaughn,"Schachter, Hendy & Johnson, PSC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
J. Nabers,Nabers Law Firm,John Nevares,"John F. Nevares & Associates, P.S.C.",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Robert Darroch,"Goodman McGuffey Lindsey & Johnson, LLP",Robert E. DeRose,"Barkan Neff Handelman Meizlish, LLP; Barakan Neff Handelman Meizlish LLP",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Robert Darroch,"Goodman McGuffey Lindsey & Johnson, LLP",R. Jackson Drake,Whatley Drake & Kallas; Whatley Drake & Kallas LLC,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Michelle Drake,Nichols Kaster PLLP,Michele Dirke,,fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf low)
Robert E. DeRose,"Barkan Neff Handelman Meizlish, LLP; Barakan Neff Handelman Meizlish LLP",R. Jackson Drake,Whatley Drake & Kallas; Whatley Drake & Kallas LLC,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
William Hoffman,,William J. Hoffmann,GROTEFFELD HOFFMANN LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
Patrick F. Madden,Berger Montague PC,P. Graham Maiden,Motley Rice LLC,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Karen Swope,Keller Rohrback LLP; Keller Rohrbach LLP,Karin Swope,"Cotchett, Pitre & McCarthy LLP",exact surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf low)
Amy Solomon,"Girardi, Keese",Amy W. Schulman,DLA Piper US LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Amy Solomon,"Girardi, Keese","A. G. Solomons, III",Speights and Runyan,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Amy W. Schulman,DLA Piper US LLP,"A. G. Solomons, III",Speights and Runyan,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
David Dukes,Nelson Mullins Riley & Scarborough LLP; Nelson Mullins Riley & Scarborough,David R. Dugas,McGlinchey Stafford PLLC,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Richard Head,SL Environmental Law Group,Rich Hood,The Hood Law Firm,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Richard Head,SL Environmental Law Group,Richard J. Hood,"Andrus Boudreaux, PLC",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Adam Pulaski,"PULASKI KHERKHER, PLLC",Adam Polk,Girard Sharp; Girard Sharp LLP,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Jeffrey Cereghino,"Merrill Nomura & Molineux, LLP; Merrill Namora & Molineaux LLP",Jeffrey J. Corrigan,"Spector Roseman Kodroff & Willis, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
James D. Young,"Morgan & Morgan; OFFICE OF THE ATTORNEY GENERAL, STATE OF FLORIDA",J. Rutledge Young III,"Duffy & Young, LLC",exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Jaime Theriot,Troutman Sanders LLP,J. Alan Truitt,"Maynard, Cooper & Gale, P.C.",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Matthew McCarley,"Fears Nachawati Law Firm; Fears | Nachawati, PLLC",Matthew McCauley,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
Walter Daniels,"The Daniels Law Firm, P.C.",W. Daniel,"Beasley, Allen, Crow, Methvin, Portis & Miles P.C.",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
David Hodges,"Kennedy Hodges, LLP",David Hodge,"Morris, King & Hodge P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf low)
